pos_1,pos_2,progenitor,descendants
203,162,1,1
159,144,2,2
227,144,3,3
215,130,4,4
215,155,5,5
209,142,6,6
218,142,7,7
145,146,8,8
159,109,9,9
173,139,10,10
203,129,11,11
129,158,12,12
147,123,13,13
189,112,14,14
175,114,15,15
224,177,16,16
241,185,17,17
267,128,18,18
243,118,19,19
263,153,20,20
239,153,21,21
253,145,22,22
237,137,23,23
207,125,24,24
199,118,25,25
214,103,26,26
200,102,27,27
222,94,28,28
223,123,29,29
226,109,30,30
283,97,31,31
217,74,32,32
240,67,33,33
195,65,34,34
245,56,35,35
