[&R] (((((216_1:0.002,216_2:1.002)211_1:11.104,216_3:14.106)171_1:34.659,((216_5:0.002,216_6:1.002)214_5:15.897,216_4:7.899)178_3:26.867)115_1:32.896,(((216_9:2.052,216_10:3.052)203_6:9.743,(216_7:1.019,216_8:2.019)207_5:11.776)170_3:30.658,216_14:42.452)119_3:35.21)58_3:61.338)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115_1,0,0:0.13/2:0.87,0:0.01/2:0.99,0:0.13/1:0.87,0:0.13/1:0.87,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.13/1:0.87,0,0,0,0:0.13/1:0.87,0,0:0.01/2:0.99,0,0:0.13/2:0.87,0:0.13/1:0.87,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0,0:0.13/2:0.87,0:0.01/2:0.99,0,0:0.13/1:0.87,0:0.01/1:0.99,0,0,0,0,0,0,0,0,0:0.13/2:0.87,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.13/1:0.87,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.13/1:0.87,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.13/2:0.87,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0,0,0,0,0,0:0.13/1:0.87,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0,0,0,0,0:0.13/1:0.87,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.13/2:0.87,0,0:0.13/2:0.87,0:0.01/1:0.99,0:0.13/2:0.87,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.13/2:0.87,0:0.13/2:0.87,0:0.13/1:0.87,0:0.13/1:0.87,0:0.01/2:0.99,0:0.13/2:0.87,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/2:0.99,0:0.13/1:0.87,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0:0.13/2:0.87,0,0:0.01/2:0.99,0:0.13/1:0.87,0:0.01/1:0.99,0,0:0.13/2:0.87,0:0.13/2:0.87,0:0.01/1:0.99,0:0.13/1:0.87,0:0.01/1:0.99,0
178_3,0:0.03/2:0.97,2,2,1,1,0,0:0.03/2:0.97,1,0,0,0:0.03/2:0.97,0:0.03/1:0.97,1,2,0,0,2,1,0,0,0,1,0,2,0,2,1,1,0,2,2,0:0.03/2:0.97,0,2,0,0,0,2,2,0,1,1,0,0,0:0.03/1:0.97,0,0,0,0,0,2,1,1,0,0,1,1,2,1,1,0,0,1,0,0,2,2,1,0,0:0.03/1:0.97,2,2,1,1,2,0,0:0.03/2:0.97,2,1,0,0,0,0,1,0,2,2,0,1,2,1,0,0,2,0:0.03/2:0.97,0,0:0.03/2:0.97,0,0,0,1,2,1,0,1,0:0.03/1:0.97,2,0,2,0,0,1,0:0.03/2:0.97,0,2,1,0:0.03/1:0.97,0,0:0.03/1:0.97,0,0:0.03/2:0.97,0,1,0,2,2,0,1,0:0.03/2:0.97,1,0,1,0:0.03/1:0.97,0,0,1,2,2,0,0,2,0,2,1,0,0,2,0,2,1,2,2,0:0.03/2:0.97,2,0,2,2,1,1,2,2,0,2,2,0:0.03/1:0.97,0,0,0,0,0:0.03/2:0.97,2,1,0:0.03/1:0.97,0:0.03/1:0.97,1,2,0,2,2,0,0,0,1,0,0,0,0,2,2,0,2,1,1,0:0.03/2:0.97,2,2,1,1,1,0
216_4,2,2,2,1,1,0,2,1,0,0,2,1,1,2,0,0,2,1,0,0,2,1,0,2,1,2,1,1,0,2,2,2,0,2,0,0,0,2,2,0,1,1,0,0,1,1,0,0,0,2,2,1,1,0,0,1,1,2,1,1,0,0,1,0,0,2,2,1,0,1,2,2,1,1,2,0,2,2,1,0,0,2,0,1,0,2,2,0,1,2,1,0,0,2,2,0,2,0,0,0,1,2,1,0,1,1,2,0,2,0,0,1,2,0,2,1,1,0,1,0,2,0,1,0,2,2,1,1,2,1,0,1,1,0,0,1,2,2,1,0,2,0,2,1,0,0,2,0,2,1,2,2,2,2,0,2,2,1,1,2,2,0,2,2,1,0,0,0,0,2,2,1,1,1,1,2,0,2,2,0,0,0,1,0,0,0,0,2,2,0,2,1,1,2,2,2,1,1,1,0
214_5,2,2,2,1,1,0,2,1,0,0,2,1,1,2,0,2,2,1,0,0,0,1,2,2,0,2,1,1,0,2,2,2,0,2,1,0,0,2,2,0,1,1,0,0,1,0,0,2,0,0,2,1,1,0,0,1,1,2,1,1,0,2,1,0,0,2,2,1,1,1,2,2,1,1,2,0,2,2,1,0,0,0,0,1,0,2,2,0,1,2,1,0,0,2,2,0,2,0,0,2,1,2,1,0,1,1,2,0,2,2,0,1,2,0,2,1,1,0,1,0,2,0,1,2,2,2,0,1,2,1,0,1,1,1,0,1,2,2,2,2,2,0,2,1,0,2,2,0,2,1,2,2,2,2,0,2,2,1,1,2,2,2,2,2,1,0,0,0,0,2,2,1,1,1,1,2,0,2,2,1,0,0,1,0,0,0,0,2,2,0,2,1,1,2,2,2,1,1,1,0
216_6,2,2,2,1,1,0,2,1,0,0,2,1,1,2,0,2,2,1,0,0,0,1,2,2,0,2,1,1,0,2,2,2,0,2,1,0,0,2,2,0,1,1,0,0,1,0,0,2,0,0,2,1,1,0,0,1,1,2,1,1,0,2,1,0,0,2,2,1,1,1,2,2,1,1,2,0,2,2,1,0,0,0,0,1,1,2,2,0,1,2,1,0,0,2,2,0,2,0,0,2,1,2,1,0,1,1,2,0,2,2,0,1,2,0,2,1,1,0,1,0,2,0,1,2,2,2,0,1,2,1,0,1,1,1,0,1,2,2,2,2,2,0,2,1,0,2,2,0,2,1,2,2,2,2,0,2,2,1,1,2,2,2,2,2,1,0,0,0,0,2,2,1,1,1,1,2,0,2,2,1,0,0,1,0,0,0,0,2,2,0,2,1,1,2,2,2,1,1,1,0
216_5,2,2,2,1,1,0,2,1,0,0,2,1,1,2,0,2,2,1,0,0,0,1,2,2,0,2,1,1,0,2,2,2,0,2,1,0,0,2,2,0,1,1,0,0,1,0,0,2,0,0,2,1,1,0,0,1,1,2,1,1,0,2,1,0,0,2,2,1,1,1,2,2,1,1,2,0,2,2,1,0,0,0,0,1,0,2,2,0,1,2,1,0,0,2,2,0,2,0,0,2,1,2,1,0,1,1,2,0,2,2,0,1,2,0,2,1,1,0,1,0,2,0,1,2,2,2,0,1,2,1,0,1,1,1,0,1,2,2,2,2,2,0,2,1,0,2,2,0,2,1,2,2,2,2,0,2,2,1,1,2,2,2,2,2,1,0,0,0,0,2,2,1,1,1,1,2,0,2,2,1,0,0,1,0,0,0,0,2,2,0,2,1,1,2,2,2,1,1,1,0
171_1,0,2,2,1,1,0,0:0.03/1:0.97,1,0:0.03/1:0.97,0,0,0:0.03/2:0.97,1,2,0:0.03/2:0.97,0,2,1,0,0,0,1,0,2,0,2,1,1,0,2,2,0:0.03/1:0.97,0,2,0,0,0,2,2,0,1,1,0,0,0,0:0.03/2:0.97,0:0.03/2:0.97,0,0,0:0.03/2:0.97,2,1,1,0,0:0.03/1:0.97,1,1,2,1,1,0:0.03/2:0.97,0,1,0,0,2,2,1,0,0:0.03/2:0.97,2,2,1,1,2,0:0.03/1:0.97,0,2,1,0,0,0,0,1,0:0.03/1:0.97,2,2,0,1,2,1,0,0:0.03/2:0.97,2,0,0,0,0,0:0.03/1:0.97,0,1,2,1,0,1,0:0.03/2:0.97,2,0,2,0,0:0.03/2:0.97,1,0,0:0.03/1:0.97,2,1,0,0:0.03/2:0.97,0,0,0,0,1,0:0.03/2:0.97,2,2,0,1,0,1,0,1,0,0:0.03/1:0.97,0,1,2,2,0,0,2,0:0.03/1:0.97,2,1,0,0:0.03/1:0.97,2,0,2,1,2,2,0,2,0,2,2,1,1,2,2,0,2,2,0,0:0.03/2:0.97,0,0,0,0:0.03/1:0.97,2,1,0,0,1,2,0,2,2,0:0.03/2:0.97,0,0,1,0:0.03/1:0.97,0,0:0.03/1:0.97,0:0.03/2:0.97,2,2,0:0.03/2:0.97,2,1,1,0,2,2,1,1,1,0:0.03/1:0.97
216_3,0,2,2,1,1,0,1,1,1,2,0,2,1,2,2,1,2,1,0,0,0,1,0,2,0,2,1,1,0,2,2,1,0,2,2,0,0,2,2,0,1,1,0,0,0,2,2,0,0,2,2,1,1,0,1,1,1,2,1,1,2,1,1,0,0,2,2,1,0,2,2,2,1,1,2,1,0,2,1,0,0,0,0,1,1,2,2,2,1,2,1,1,2,2,0,2,0,0,1,1,1,2,1,2,1,2,2,1,2,0,2,1,0,1,2,1,0,2,0,0,0,2,1,2,2,2,0,1,0,1,0,1,0,1,0,1,2,2,0,0,2,1,2,1,0,1,2,0,2,1,2,2,2,2,0,2,2,1,1,2,2,0,2,2,0,2,0,0,0,1,2,1,0,0,1,2,1,2,2,2,0,0,1,1,0,1,2,2,2,2,2,1,1,0,2,2,1,1,1,1
211_1,0,2,2,1,1,0,1,1,1,0,0,2,1,2,2,0,2,1,0,0,1,1,0,2,0,2,1,1,0,2,2,1,0,2,0,2,0,2,2,0,1,1,0,2,1,2,2,0,0,2,2,1,1,0,1,1,1,2,1,1,2,0,1,0,0,2,2,1,0,2,2,2,1,1,2,1,0,2,1,0,2,1,0,1,1,2,2,0,1,2,1,0,2,2,0,0,0,0,1,0,1,2,1,0,1,2,2,2,2,0,2,1,0,1,2,1,0,2,0,1,0,0,1,2,2,2,0,1,0,1,2,1,0,1,0,1,2,2,0,0,2,1,2,1,0,1,2,0,2,1,2,2,0,2,0,2,2,1,1,2,2,0,2,2,0,2,0,0,1,1,2,1,0,0,1,2,0,2,2,2,0,0,1,1,0,1,2,2,2,2,2,1,1,0,2,2,1,1,1,1
216_2,0,2,2,1,1,0,1,1,1,0,0,2,1,2,2,0,2,1,0,0,1,1,0,2,0,2,1,1,0,2,2,1,0,2,0,2,0,2,2,0,1,1,0,2,1,2,2,0,0,2,2,1,1,0,1,1,1,2,1,1,2,0,1,0,0,2,2,1,0,2,2,2,1,1,2,1,0,2,1,0,2,1,0,1,1,2,2,0,1,2,1,0,2,2,2,0,0,0,1,0,1,2,1,0,1,2,2,2,2,0,2,1,0,1,2,1,0,2,0,1,0,0,1,2,2,2,0,1,0,1,2,1,0,1,0,1,2,2,0,0,2,1,2,1,0,1,2,0,2,1,2,2,0,2,0,2,2,1,1,2,2,0,2,2,0,2,0,0,1,1,2,1,0,0,1,2,0,2,2,2,0,0,1,1,0,1,2,2,2,2,2,1,1,0,2,2,1,1,1,1
216_1,0,2,2,1,1,0,1,1,1,0,0,2,1,2,2,0,2,1,0,0,1,1,0,2,0,2,1,1,0,2,2,1,0,2,0,2,0,2,2,0,1,1,0,2,1,2,2,0,0,2,2,1,1,0,1,1,1,2,1,1,2,0,1,0,0,2,2,1,0,2,2,2,1,1,2,1,0,2,1,0,2,1,0,1,1,2,2,0,1,2,1,0,2,2,0,0,0,0,1,0,1,2,1,0,1,2,2,2,2,0,2,1,0,1,2,1,0,2,0,1,0,0,1,2,2,2,0,1,0,1,2,1,0,1,0,1,2,2,0,0,2,1,2,1,0,1,2,0,2,1,2,2,0,2,0,2,2,1,1,2,2,0,2,2,0,2,0,0,1,1,2,1,0,0,1,2,0,2,2,2,0,0,1,1,0,1,2,2,2,2,2,1,1,0,2,2,1,1,1,1
