[&R] (((((216_1:3.021,216_2:0.021)211_1:13.884,216_3:7.905)171_1:24.604,((216_5:1.002,216_6:0.002)214_5:7.684,216_4:10.686)178_3:31.823)115_1:34.477,(((216_9:2.038,216_10:2.038)203_6:18.084,(216_7:2.037,216_8:2.037)207_5:17.085)170_3:18.887,216_14:35.009)119_3:34.977)58_3:73.014)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115_1,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0,0,0:0.12/1:0.88,0:0.01/1:0.99,0:0.12/1:0.88,0,0,0,0:0.12/1:0.88,0:0.01/2:0.99,0:0.12/2:0.88,0:0.01/1:0.99,0:0.12/1:0.88,0,0:0.01/1:0.99,0:0.12/2:0.88,0,0,0:0.01/2:0.99,0:0.12/2:0.88,0:0.01/1:0.99,0,0,0,0:0.12/2:0.88,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.12/2:0.88,0:0.01/2:0.99,0:0.12/2:0.88,0:0.12/2:0.88,0,0:0.12/1:0.88,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0,0,0:0.12/1:0.88,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.12/2:0.88,0:0.12/2:0.88,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.12/2:0.88,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.12/2:0.88,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.12/1:0.88,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0:0.12/2:0.88,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0:0.12/2:0.88,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0,0,0,0:0.12/1:0.88,0,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.12/1:0.88,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.12/1:0.88,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.12/1:0.88,0,0:0.01/2:0.99,0:0.12/2:0.88,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0:0.12/2:0.88,0,0:0.12/1:0.88,0:0.12/2:0.88,0,0:0.01/1:0.99,0:0.12/2:0.88,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.12/2:0.88,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.12/1:0.88,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0
178_3,0:0.02/1:0.98,1,2,0,0,0,1,1,1,0:0.02/1:0.98,0:0.02/1:0.98,0,1,2,2,1,1,0:0.02/1:0.98,1,2,0,0,2,2,1,0:0.02/2:0.98,0,0:0.02/2:0.98,2,2,1,0:0.02/1:0.98,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,0:0.02/2:0.98,0:0.02/1:0.98,2,0,2,0:0.02/1:0.98,0,0,0,0,1,2,0,0,0:0.02/2:0.98,1,2,0,2,2,2,2,2,1,2,1,0,0:0.02/2:0.98,1,0,2,1,2,0,0,2,2,0,0,1,0,0,2,2,0:0.02/2:0.98,0,0,2,1,1,1,0:0.02/1:0.98,2,2,2,0:0.02/2:0.98,0,0,2,0,0,1,0,0,1,0:0.02/1:0.98,0,2,0:0.02/1:0.98,2,0,0,1,0:0.02/1:0.98,0:0.02/2:0.98,0,0,2,0:0.02/2:0.98,0,0,1,0,0,0,0:0.02/1:0.98,2,1,0,2,1,0,2,0:0.02/1:0.98,1,1,0,2,2,1,1,1,1,0,1,0:0.02/1:0.98,2,2,1,2,0,2,0,1,2,2,1,2,0,1,2,0:0.02/1:0.98,1,2,1,2,0,2,1,0,2,0,0,0:0.02/2:0.98,1,1,0,0:0.02/1:0.98,2,2,0,0,2,1,0,2,2,2,0,2,0:0.02/2:0.98,2,0:0.02/1:0.98
216_4,1,1,2,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,2,0,0,2,2,1,2,0,2,2,2,1,1,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,2,1,2,1,2,1,0,0,0,1,1,2,1,0,2,1,2,1,2,2,2,2,2,1,2,1,0,2,1,0,2,1,2,0,0,2,2,0,0,1,0,0,2,2,2,0,0,2,1,1,1,1,2,2,2,2,0,0,2,2,0,1,0,0,1,1,0,2,1,2,0,0,1,1,2,0,1,2,2,0,0,1,0,0,0,1,2,1,0,2,1,1,2,1,1,1,0,2,2,1,1,1,1,0,1,1,2,2,1,2,1,2,0,1,2,2,1,2,0,1,2,1,1,2,1,2,0,2,1,0,2,0,1,2,1,1,0,1,2,2,0,0,2,1,0,2,2,2,0,2,2,2,1
214_5,1,1,2,0,0,0,1,1,1,1,1,0,1,2,2,1,1,1,1,2,0,0,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,2,1,2,0,2,1,0,0,0,0,1,2,0,0,2,1,2,0,2,2,2,2,2,1,2,1,0,2,1,1,2,1,2,0,0,2,2,0,0,1,1,0,2,2,2,0,1,2,1,1,1,1,2,2,2,2,0,0,2,0,1,1,0,2,1,1,0,2,1,2,0,0,1,1,2,0,0,2,2,0,0,1,0,1,0,1,2,1,0,2,1,0,2,1,1,1,0,2,2,1,1,1,1,0,1,1,2,2,1,2,0,2,0,1,2,2,1,2,0,1,2,1,1,2,1,2,0,2,1,0,2,0,0,2,1,1,0,1,2,2,0,0,2,1,0,2,2,2,0,2,2,2,1
216_6,1,1,2,0,0,0,1,1,1,1,1,0,1,2,2,1,1,1,1,2,0,0,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,2,1,2,0,2,1,0,0,0,0,1,2,0,0,2,1,2,0,2,2,2,2,2,1,2,1,0,2,1,1,2,1,2,0,0,2,2,0,0,1,1,0,2,2,2,0,1,2,1,1,1,1,2,2,2,2,0,0,2,0,1,1,0,2,1,1,0,2,1,2,0,0,1,1,2,0,0,2,2,0,0,1,0,1,0,1,2,1,0,2,1,0,2,1,1,1,0,2,2,1,1,1,1,0,1,1,2,2,1,2,0,2,0,1,2,2,1,2,0,1,2,1,1,2,1,2,0,2,1,0,2,0,0,2,1,1,0,1,2,2,0,0,2,1,0,2,2,2,0,2,2,2,1
216_5,1,1,2,0,0,0,1,1,1,1,1,0,1,2,2,1,1,1,1,2,0,0,2,2,1,2,1,2,2,2,1,1,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,2,1,2,0,2,1,0,0,0,0,1,2,0,0,2,1,2,0,2,2,2,2,2,1,2,1,0,2,1,1,2,1,2,0,0,2,2,0,0,1,1,0,2,2,2,0,1,2,1,1,1,1,2,2,2,2,0,0,2,0,1,1,0,2,1,1,0,2,1,2,0,0,1,1,2,0,0,2,2,0,0,1,0,1,0,1,2,1,0,2,1,0,2,1,1,1,0,2,2,1,1,1,1,0,1,1,2,2,1,2,0,2,0,1,2,2,1,2,0,1,2,1,1,2,1,2,0,2,1,0,2,0,0,2,1,1,0,1,2,2,2,0,2,1,0,2,2,2,0,2,2,2,1
171_1,0,1,2,0,0:0.04/1:0.96,0,1,1,1,0,0,0,1,2,2,1,1,0,1,2,0,0,2,2,1,0,0:0.04/2:0.96,0,2,2,1,0,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,0,0,2,0,2,0:0.04/2:0.96,0,0,0,0:0.04/2:0.96,1,2,0,0,0,1,2,0,2,2,2,2,2,1,2,1,0,0:0.04/1:0.96,1,0,2,1,2,0,0,2,2,0,0,1,0:0.04/2:0.96,0,2,2,0,0:0.04/2:0.96,0:0.04/2:0.96,2,1,1,1,0,2,2,2,0:0.04/1:0.96,0,0,2,0:0.04/1:0.96,0:0.04/2:0.96,1,0,0,1,0,0,2,0,2,0,0,1,0:0.04/2:0.96,0,0,0:0.04/2:0.96,2,0,0,0,1,0:0.04/1:0.96,0,0:0.04/2:0.96,0,2,1,0,2,1,0:0.04/1:0.96,2,0,1,1,0:0.04/1:0.96,2,2,1,1,1,1,0,1,0:0.04/2:0.96,2,2,1,2,0,2,0:0.04/1:0.96,1,2,2,1,2,0,1,2,0,1,2,1,2,0,2,1,0,2,0,0,0:0.04/1:0.96,1,1,0:0.04/2:0.96,0,2,2,0,0,2,1,0,2,2,2,0,2,0,2,0
216_3,0,1,2,0,1,0,1,1,1,1,0,0,1,2,2,1,1,0,1,2,0,0,2,2,1,0,2,0,2,2,1,0,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,0,0,2,0,2,2,0,0,0,2,1,2,0,0,1,1,2,0,2,2,2,2,2,1,2,1,0,1,1,0,2,1,2,0,2,2,2,2,2,1,2,0,2,2,0,2,2,2,1,1,1,0,2,2,2,1,0,0,2,1,2,1,0,0,1,1,0,2,0,2,0,0,1,2,0,0,2,2,0,0,0,1,1,0,2,0,2,1,0,2,1,1,2,0,1,1,1,2,2,1,1,1,1,0,1,2,2,2,1,2,0,2,1,1,2,2,1,2,0,1,2,0,1,2,1,2,0,2,1,0,2,0,0,1,1,1,2,0,2,2,0,0,2,1,0,2,2,2,0,2,2,2,0
211_1,0,1,2,0,1,0,1,1,1,0,0,0,1,2,2,1,1,0,1,2,0,0,2,2,1,1,2,0,2,2,1,0,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,0,0,2,0,2,2,0,0,0,2,1,2,0,0,0,1,2,0,2,2,2,2,2,1,2,1,0,1,1,2,2,1,2,2,0,2,2,0,0,1,2,0,2,2,0,2,2,2,1,1,1,0,2,2,2,1,0,0,2,1,2,1,0,0,1,2,0,2,0,2,0,0,1,2,0,0,2,2,0,0,0,1,1,2,2,0,2,1,0,2,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,2,2,2,1,2,1,2,1,1,2,2,1,2,0,1,2,2,1,2,1,2,0,2,1,2,2,0,0,1,1,1,2,1,2,2,0,2,2,1,0,2,2,2,2,2,0,2,1
216_2,0,1,2,0,1,0,1,1,1,0,0,0,1,2,2,1,1,0,1,2,0,0,2,2,1,1,2,0,2,2,1,0,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,0,0,2,0,2,2,0,0,0,2,1,2,0,0,0,1,2,0,2,2,2,2,2,1,2,1,0,1,1,2,2,1,2,2,0,2,2,0,0,1,2,0,2,2,0,2,2,2,1,1,1,0,2,2,2,1,0,0,2,1,2,1,0,0,1,2,0,2,0,2,0,0,1,2,0,0,2,2,0,0,0,1,1,2,2,0,2,1,0,2,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,2,2,2,1,2,1,2,1,1,2,2,1,2,0,1,2,2,1,2,1,2,0,2,1,2,2,0,0,1,1,1,2,1,2,2,0,2,2,1,0,2,2,2,2,2,0,2,1
216_1,1,1,2,2,1,0,1,1,1,0,0,0,1,2,2,1,1,0,1,2,0,0,2,2,1,1,2,0,2,2,1,0,2,2,2,2,2,0,1,1,2,2,1,1,0,2,0,0,0,2,0,2,2,0,0,0,2,1,2,0,0,0,1,2,0,2,2,2,2,2,1,2,1,0,1,1,2,2,1,2,2,0,2,2,0,0,1,2,0,2,2,0,2,2,2,1,1,1,0,2,2,2,1,0,0,2,1,2,1,0,0,1,2,0,2,0,2,0,0,1,2,0,0,2,2,0,0,0,1,1,2,2,0,2,1,0,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,2,1,2,1,2,1,1,2,2,1,2,0,1,2,2,1,2,1,2,0,2,1,2,2,0,0,1,1,1,2,1,2,2,0,2,2,1,0,2,2,2,2,2,0,2,1
