cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_16,0,0,1,2,1,0,0,0,0,2
216_15,0,0,1,2,1,0,0,0,0,2
216_14,0,0,1,2,1,0,0,0,0,2
216_13,0,0,1,2,1,0,0,0,0,2
216_6,1,2,0,2,1,1,0,2,0,2
216_5,1,2,0,2,1,1,0,2,0,2
216_4,0,2,1,2,1,0,1,2,0,2
216_3,0,2,1,2,1,0,0,2,0,2
216_2,0,2,0,2,1,0,0,2,2,2
216_1,0,2,0,2,1,0,0,2,2,2
216_28,1,1,0,0,2,1,2,0,0,0
216_27,1,1,0,0,2,1,2,0,0,0
216_26,1,1,2,0,2,1,2,0,0,0
216_25,1,1,0,0,2,1,2,0,0,0
216_32,1,1,2,0,2,1,2,0,0,2
216_31,1,1,2,0,2,1,2,0,0,2
216_30,1,1,2,0,2,1,2,0,0,2
216_29,1,1,2,0,2,1,2,0,0,2
216_24,1,1,1,0,2,1,2,1,2,1
216_23,1,1,1,0,0,1,2,0,2,1
216_22,1,1,1,1,0,1,2,0,0,1
216_21,1,1,1,1,0,1,2,1,0,1
216_20,1,1,1,1,1,1,2,0,0,0
216_19,1,1,1,1,1,1,2,0,0,0
216_18,1,1,1,2,1,1,2,0,0,1
216_17,1,1,1,2,1,1,2,0,0,1
