cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_15,1,2,0,2,0,0,2,1,1,1
216_14,1,2,0,2,0,0,2,1,1,1
216_13,1,2,0,2,0,2,2,1,1,1
216_20,1,2,2,2,0,2,2,1,1,1
216_19,1,2,2,2,2,2,2,1,1,1
216_18,1,2,2,2,0,2,2,1,1,1
216_17,1,2,2,2,0,2,2,1,1,1
216_12,2,2,0,1,2,0,2,2,2,1
216_11,2,2,0,0,2,0,2,2,2,1
216_10,0,2,1,2,2,0,0,2,2,1
216_9,0,2,1,2,2,0,0,2,2,1
216_2,1,2,0,1,2,0,0,2,2,1
216_1,1,2,0,1,2,0,0,2,2,1
216_4,1,2,0,0,2,0,0,2,2,1
216_3,1,2,0,0,2,0,0,2,2,1
216_6,1,2,0,0,2,1,0,2,2,1
216_5,1,2,0,0,2,1,0,2,2,1
216_8,1,2,0,0,2,2,0,2,2,1
216_7,1,2,0,0,2,2,0,2,2,1
