cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
216_3,1,1,2,1,1,1,0,2,0,1
216_8,0,1,2,2,1,1,1,2,0,1
216_10,0,0,2,2,1,1,1,2,0,1
216_9,0,0,2,2,1,1,1,2,0,1
216_5,0,1,2,2,1,1,1,2,0,1
216_7,0,0,2,2,1,1,1,2,0,1
216_6,0,0,2,2,1,1,1,2,0,1
216_23,1,1,2,2,2,0,2,1,0,2
216_22,1,1,2,2,0,1,2,1,0,2
216_25,1,1,2,2,1,1,2,1,1,0
216_24,1,1,2,2,1,1,2,1,1,0
216_19,1,1,2,2,0,0,2,1,0,1
216_18,1,1,2,2,0,0,2,1,2,1
216_21,1,1,2,2,1,0,2,1,1,0
216_20,1,1,2,2,1,2,2,1,0,0
216_27,0,2,2,2,2,2,0,1,1,2
216_26,0,2,2,2,2,2,0,1,1,2
216_35,2,0,2,2,2,1,0,1,1,0
216_34,2,0,2,2,2,1,0,1,1,0
216_31,2,0,2,2,2,1,1,1,1,1
216_30,2,0,2,2,2,1,1,1,1,1
216_33,2,0,2,2,2,1,1,1,1,0
216_32,2,0,2,2,2,1,1,1,1,0
