[&R] (((((216_12:0.029,216_13:4.029)202_10:11.909,(216_10:4.069,216_11:2.069)209_10:12.869)162_8:22.136,(216_14:2.183,216_15:7.183)202_11:43.891)108_4:33.533,(((216_4:4.227,216_5:6.227)199_4:19.657,(216_6:1.007,216_7:1.007)202_6:13.876)156_5:13.617,(216_8:12.026,216_9:11.026)162_7:28.474)111_4:44.106)50_2:63.393)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216_5,1,2,2,2,2,1,1,2,1,0,1,1,1,0,2,1,2,1,0,2,1,2,0,2,2,1,0,0,1,0,0,0,0,2,2,0,2,2,2,2,0,2,0,2,2,1,2,2,0,1,1,2,1,0,2,1,0,0,2,0,2,1,0,1,0,0,2,2,0,0,2,1,1,1,1,1,2,2,2,2,0,1,0,2,1,0,2,0,2,0,2,2,2,2,1,2,1,2,0,0,2,0,1,0,1,0,1,2,1,2,1,2,1,2,2,2,2,2,1,1,0,0,1,0,1,1,2,1,0,0,2,0,2,0,2,2,1,2,1,1,0,2,2,1,2,1,1,2,1,1,2,2,1,0,2,2,2,2,1,0,1,2,2,1,2,2,0,0,1,0,0,0,1,2,0,0,2,1,1,0,2,1,0,1,1,1,2,1,2,1,2,2,1,1,0,1,2,1,2,1
216_4,1,2,2,2,2,1,1,2,1,0,1,1,1,0,2,1,2,1,0,2,1,2,0,2,2,1,0,0,1,0,2,0,0,2,2,0,2,2,2,2,0,2,0,2,2,1,2,0,0,1,1,0,1,0,0,0,0,0,2,0,2,1,0,1,0,0,2,2,1,0,2,1,1,1,1,1,2,2,2,2,0,1,0,2,1,0,2,0,2,0,2,2,2,2,1,2,1,2,0,0,2,0,1,0,1,0,1,2,1,0,1,2,1,2,2,2,2,2,1,1,0,0,1,2,1,1,2,1,0,0,2,0,2,0,2,2,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,2,1,0,2,2,2,2,1,0,1,0,2,1,2,2,0,0,1,0,0,0,1,2,0,0,2,1,1,0,2,1,0,1,1,1,2,1,2,1,2,2,1,1,0,1,2,1,2,1
108_4,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.13/2:0.87,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.13/1:0.87,0,0:0.13/1:0.87,0,0:0.13/2:0.87,0:0.13/1:0.87,0,0,0:0.13/1:0.87,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.13/1:0.87,0:0.13/1:0.87,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0,0:0.13/2:0.87,0,0,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.13/2:0.87,0:0.13/1:0.87,0:0.01/2:0.99,0,0:0.13/1:0.87,0,0:0.01/1:0.99,0,0:0.13/2:0.87,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.13/2:0.87,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0:0.13/1:0.87,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.13/1:0.87,0,0,0,0:0.13/1:0.87,0,0:0.13/2:0.87,0,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.13/1:0.87,0,0:0.13/2:0.87,0,0:0.13/1:0.87,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.13/2:0.87,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.13/2:0.87,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.13/1:0.87,0,0:0.13/1:0.87,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.13/2:0.87,0,0:0.01/1:0.99,0,0:0.13/1:0.87,0:0.13/2:0.87,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0,0,0,0,0:0.13/1:0.87,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.13/2:0.87,0:0.01/2:0.99,0:0.01/1:0.99,0:0.13/2:0.87,0,0,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,0,0:0.13/2:0.87,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0
202_11,0,2,2,2,2,0,1,2,1,0,1,2,0,1,2,0,2,2,1,2,2,2,0,2,1,0,1,0,2,1,0,2,1,1,2,0,2,2,2,2,0,1,1,2,2,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,2,1,0,1,0,2,1,2,1,1,0,1,0,2,0,1,1,2,0,1,2,1,2,2,1,0,2,1,2,1,2,1,2,2,0,2,1,0,0,1,2,2,0,1,0,2,0,0,1,2,0,2,1,2,2,2,2,1,2,2,2,1,1,0,1,1,2,0,1,0,2,1,2,1,0,2,1,2,2,0,2,2,0,1,1,2,1,2,0,1,2,0,1,0,1,2,2,1,1,2,1,0,2,0,2,1,0,0,0,1,0,1,1,2,0,2,1,1,1,2,2,1,2,0,0,0,2,1,2,0,1,0,1,0,2,2,2,1,2,0
216_15,0,2,2,2,2,0,1,2,1,0,1,2,0,1,2,0,2,2,1,2,2,2,0,2,1,0,1,0,2,1,1,2,1,1,2,0,2,2,2,2,0,1,1,2,2,0,0,0,1,0,1,0,1,0,2,2,0,0,0,1,2,1,0,1,0,2,1,2,1,1,0,1,0,2,0,1,1,2,0,1,2,1,2,2,1,0,2,1,2,1,2,1,2,2,0,2,1,0,0,1,2,2,0,1,0,2,0,0,1,2,0,2,1,2,2,2,2,1,2,2,2,1,1,0,1,1,2,0,1,0,2,1,2,1,0,2,1,2,2,0,2,2,0,1,1,2,1,2,0,1,2,0,1,0,1,2,2,1,1,2,1,0,2,2,2,1,0,1,0,1,0,1,1,2,2,2,1,1,1,2,2,1,2,1,0,0,2,1,2,0,1,2,1,0,2,2,2,1,2,0
216_14,0,2,2,2,2,0,1,2,1,0,1,2,0,1,2,0,2,2,1,2,2,2,0,2,1,0,1,0,2,1,0,2,1,1,2,0,2,2,2,2,0,1,1,2,2,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,2,1,0,1,2,2,1,2,1,1,0,1,0,2,0,1,1,2,0,1,2,1,2,2,1,0,2,1,2,1,2,1,2,2,0,2,1,0,0,1,2,2,0,1,0,2,0,0,1,2,0,2,1,2,2,2,2,1,2,2,2,1,1,0,1,1,2,0,1,0,2,1,2,1,0,2,1,2,2,2,2,2,0,1,1,2,1,2,0,1,2,0,1,0,1,2,2,1,1,2,1,0,2,0,2,1,0,0,0,1,0,1,1,2,0,2,1,1,1,2,2,1,2,0,0,0,2,1,2,0,1,0,1,0,2,2,2,1,2,0
162_8,0,2,0,2,2,0,1,2,1,0,1,0,0,0,2,0,2,0:0.01/2:0.99,0,2,0,2,0,2,0:0.01/1:0.99,0:0.04/1:0.96,0:0.01/1:0.99,0:0.04/1:0.96,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,2,0,2,0,2,0,0,0:0.01/1:0.99,0:0.01/1:0.99,2,2,0:0.04/2:0.96,0,0:0.04/1:0.96,0:0.04/1:0.96,0,1,0,1,0,0,0:0.01/2:0.99,0,0,0,0:0.04/2:0.96,2,1,0,1,0,0:0.01/2:0.99,0:0.01/1:0.99,2,0:0.04/2:0.96,0:0.01/1:0.99,0,1,0,0:0.01/2:0.99,0,1,0,2,0,0,0,1,0:0.01/2:0.99,2,1,0,2,0,0,0:0.01/1:0.99,2,0,2,2,0:0.04/2:0.96,2,1,0,0,0:0.01/1:0.99,0:0.04/1:0.96,0,0:0.04/2:0.96,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,1,0,0,2,1,2,0:0.04/1:0.96,2,2,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/1:0.99,1,0,1,1,0:0.01/2:0.99,0,0:0.04/2:0.96,0,2,0,2,0,0,2,1,2,0:0.01/2:0.99,0,0,2,0:0.04/1:0.96,1,0:0.01/1:0.99,0,0:0.01/1:0.99,2,0,1,0:0.01/2:0.99,0,1,0:0.04/1:0.96,0:0.01/1:0.99,0:0.01/2:0.99,2,0,1,0,1,0,2,0,2,0:0.04/2:0.96,0,0,0,0,0,0:0.01/1:0.99,1,2,0,0:0.04/1:0.96,0,1,1,0:0.01/2:0.99,2,1,0:0.01/2:0.99,0,0,0,0:0.04/1:0.96,1,0,0,0,0,1,0:0.04/1:0.96,0:0.01/2:0.99,0,2,1,2,0
209_10,0,2,0:0.01/1:0.99,2,2,0,1,2,1,0,1,0,0,0,2,0,2,2,0,2,0:0.01/2:0.99,2,0,2,1,1,1,1,2,1,0,0,1,0,2,0,2,0,2,0,0,1,1,2,2,2,0,1,1,0,1,0,1,0,0:0.01/1:0.99,2,0,0:0.01/1:0.99,0,2,2,1,0:0.01/2:0.99,1,0,2,1,2,2,1,0,1,0,2,0,1,0,2,0,0,0,1,2,2,1,0,2,0,0,1,2,0,2,2,2,2,1,0,0,1,1,0,2,1,0,2,0:0.01/1:0.99,0,1,0:0.01/2:0.99,0:0.01/2:0.99,2,1,2,1,2,2,1,0,2,0,1,1,0,1,1,2,0,2,0:0.01/1:0.99,2,0,2,0:0.01/2:0.99,0:0.01/1:0.99,2,1,2,2,0,0,2,1,1,1,0,1,2,0,1,2,0,1,1,1,2,2,0,1,0,1,0,2,0,2,2,0,0,0,0,0,1,1,2,0,1,0,1,1,2,2,1,2,0,0,0,1,1,0,0,0,0,1,1,2,0:0.01/1:0.99,2,1,2,0
216_11,0,2,1,2,2,0,1,2,1,0,1,0,0,0,2,0,2,2,0,2,2,2,0,2,1,1,1,1,2,1,0,0,1,0,2,0,2,0,2,0,0,1,1,2,2,2,0,1,1,0,1,0,1,0,1,2,0,1,0,2,2,1,2,1,0,2,1,2,2,1,0,1,0,2,0,1,0,2,0,0,1,1,2,2,1,1,2,0,0,1,2,0,2,2,2,2,1,0,0,1,1,0,2,1,0,2,1,0,1,2,2,2,1,2,1,2,2,1,0,2,0,1,1,0,1,1,2,0,2,1,2,0,2,2,1,2,1,2,2,0,0,2,1,1,1,0,1,2,0,1,2,0,1,1,1,2,2,0,1,0,1,0,2,0,2,2,0,0,0,0,0,1,1,2,0,1,0,1,1,2,2,1,2,0,0,0,1,1,0,0,0,0,1,1,2,1,2,1,2,0
216_10,0,2,1,2,2,0,1,2,1,0,1,0,0,0,2,0,2,2,0,2,2,2,0,2,1,1,1,1,2,1,0,0,1,0,2,0,2,0,2,2,0,1,1,2,2,2,0,1,1,2,1,0,1,0,1,2,0,1,0,2,2,1,2,1,0,2,1,2,2,1,0,1,0,2,0,1,0,2,0,0,0,1,2,2,1,0,2,0,0,1,2,0,2,2,2,2,1,0,0,1,1,0,2,1,0,2,1,0,1,2,2,2,1,2,1,2,2,1,0,2,0,1,1,0,1,1,2,0,2,1,2,0,2,2,1,2,1,2,2,0,0,2,1,1,1,0,1,2,0,1,2,0,1,1,1,2,2,0,1,0,1,0,2,1,2,2,0,0,0,0,1,1,1,2,0,1,0,1,1,2,2,1,2,0,0,0,1,1,0,0,0,0,1,1,2,1,2,1,2,0
