[&R] (((((216_6:5.169,216_7:4.169)205_4:16.591,(216_4:0.002,216_5:1.002)214_4:16.759)158_2:29.169,((216_2:1.018,216_3:2.018)212_2:21.283,216_1:26.301)165_1:24.629)109_1:29.632,((216_12:5.258,216_13:6.258)205_9:24.288,(216_14:3.052,216_15:2.052)207_12:25.494)150_4:51.017)62_1:60.438)I0;
216_1,2,0,1,2,2,2,2,2,2,1,1,2,2,0,1,1,1,0,0,2,1,1,1,0,1,1,0,1,2,1,2,2,0,2,1,0,0,1,1,0,2,1,0,2,1,0,1,1,2,0,1,2,0,2,2,1,1,0,0,2,1,2,1,2,2,2,1,1,1,2,1,0,2,0,1,1,0,0,2,2,2,0,1,1,0,0,0,0,1,1,1,2,0,2,0,2,2,0,2,1,2,2,1,0,1,0,2,0,1,2,0,1,1,2,2,2,2,0,2,2,1,2,0,1,1,0,1,1,2,2,2,0,2,0,0,1,2,2,1,0,0,0,0,1,2,2,1,1,2,0,2,0,1,1,2,2,2,0,2,1,1,2,1,0,2,2,2,2,0,2,1,2,1,0,0,2,0,2,1,0,2,0,0,1,1,2,1,1,1,1,2,0,1,0,0,0,1,0,1,0
212_2,2,0,1,0,2,2,2,2,2,1,1,0,2,0,1,1,1,0,2,2,0,1,1,0,0,1,1,1,2,1,2,2,0,1,1,1,0,1,1,0,2,0,0,2,1,0,1,1,0,0,1,2,0,2,2,1,1,1,0,2,1,0,1,2,2,2,1,1,1,2,1,0,2,0,1,1,2,0,2,2,2,0,1,1,0,0,0,0,1,1,1,2,2,2,0,2,0,0,2,1,2,2,1,0,1,0,2,0,1,2,1,1,1,2,2,2,2,0,0,0,0,0,0,1,2,0,1,1,2,2,2,0,2,0,1,1,2,2,1,0,0,2,0,1,2,0,1,1,2,2,2,0,0,0,0,2,2,1,2,1,0,0,1,1,2,2,2,2,0,2,1,2,1,1,0,0,0,2,1,2,2,1,0,1,1,2,1,0,1,0,2,0,1,1,0,0,1,0,1,0
216_3,2,0,1,0,2,2,2,2,2,1,1,0,2,0,1,1,1,0,2,2,0,1,1,0,2,1,1,1,2,1,2,2,0,1,1,1,0,1,1,0,2,0,0,2,1,0,1,1,0,0,1,2,0,2,2,1,1,1,0,2,1,0,1,2,2,2,1,1,1,2,1,0,2,0,1,1,2,0,2,2,2,0,1,1,0,0,0,0,1,1,1,2,2,2,0,2,0,0,2,1,2,2,1,0,1,0,2,0,1,2,1,1,1,2,2,2,2,0,0,0,0,0,0,1,2,0,1,1,2,2,2,0,2,0,1,1,2,2,1,0,0,2,0,1,2,0,1,1,2,2,2,0,0,0,0,2,2,1,2,1,0,0,1,1,2,2,2,2,0,2,1,2,1,1,0,0,0,2,1,2,2,1,1,1,1,2,1,0,1,0,2,0,1,1,0,0,1,0,1,0
216_2,2,0,1,0,2,2,2,2,2,1,1,0,2,0,1,1,1,0,2,2,0,1,1,0,0,1,1,1,2,1,2,2,0,1,1,1,0,1,1,0,2,0,0,2,1,0,1,1,0,0,1,2,0,2,2,1,1,1,0,2,1,0,1,2,2,2,1,1,1,2,1,0,2,0,1,1,2,0,2,2,2,0,1,1,0,0,0,0,1,1,1,2,2,2,0,2,0,0,2,1,2,2,1,0,1,0,2,0,1,2,1,1,1,2,2,2,2,0,0,0,0,0,0,1,2,0,1,1,2,2,2,1,2,0,1,1,2,2,1,0,0,2,0,1,2,0,1,1,2,2,2,0,0,0,0,2,2,1,2,1,0,0,1,1,2,2,2,2,0,2,1,2,1,1,0,0,0,2,1,2,2,1,0,1,1,2,1,0,1,0,2,0,1,1,0,0,1,0,1,0
158_2,0,0,1,0,0,2,0,2,2,1,1,0:0.06/1:0.94,2,0,0,0:0.01/1:0.99,0,0,0,0:0.06/1:0.94,0,0:0.01/1:0.99,0:0.06/2:0.94,0,0,1,0:0.06/2:0.94,0,0:0.01/2:0.99,0:0.01/1:0.99,2,2,0:0.06/2:0.94,0,1,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,2,0,0,2,1,0,1,1,0,0:0.06/1:0.94,1,2,0,2,0,1,0,0:0.06/1:0.94,0,2,0,0,1,2,2,0,1,1,0:0.01/1:0.99,2,1,0,2,0:0.06/1:0.94,0:0.01/1:0.99,1,0:0.06/2:0.94,0:0.06/2:0.94,0:0.01/2:0.99,0:0.01/2:0.99,2,0:0.06/1:0.94,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0,0:0.01/1:0.99,1,1,2,0,2,0,2,0:0.06/2:0.94,0:0.06/2:0.94,0:0.01/2:0.99,1,0,2,1,0:0.06/2:0.94,1,0,0,0:0.06/2:0.94,0,0:0.01/2:0.99,0:0.06/2:0.94,0,0:0.01/1:0.99,0:0.01/2:0.99,2,2,2,0,0,0:0.06/1:0.94,0,0,0:0.06/1:0.94,1,0,0,1,1,0,2,2,0,2,0,0,1,2,2,0,0:0.06/1:0.94,0:0.06/1:0.94,0,0,1,0:0.01/2:0.99,0,0,1,0:0.01/2:0.99,0,2,0,0,0,0,0,2,0,2,0:0.01/1:0.99,0:0.06/2:0.94,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,2,0,2,0,0:0.06/1:0.94,0,0,0,2,1,0,0:0.01/2:0.99,0:0.06/2:0.94,0:0.06/2:0.94,1,0:0.01/1:0.99,0:0.01/2:0.99,1,0:0.06/1:0.94,1,0,2,0:0.06/1:0.94,0:0.01/1:0.99,0,0,0,1,0,1,0:0.06/2:0.94
214_4,0,0,1,0,0,2,0,2,2,1,1,1,2,0,0,1,0,0,0,1,1,1,2,0,1,1,2,0,2,1,2,2,2,0,1,0,0,1,1,1,2,0,1,2,1,1,1,1,0,1,1,2,0,2,0,1,0,1,0,2,0,1,1,2,2,0,1,1,1,2,1,0,2,1,1,1,2,2,2,2,2,1,1,1,0,0,0,0,1,1,1,2,2,2,0,2,2,2,2,1,2,2,1,2,1,1,0,2,0,2,2,2,1,2,2,2,2,0,0,1,2,0,1,1,0,1,1,1,0,2,2,0,2,0,0,1,2,2,0,1,1,0,0,1,2,0,0,1,2,0,2,0,0,0,0,2,2,0,2,1,2,2,1,0,0,0,2,2,0,2,0,2,0,1,0,1,0,2,1,0,2,2,2,1,1,2,1,1,1,0,2,1,1,0,0,0,1,0,1,2
216_5,0,0,1,0,0,2,0,2,2,1,1,1,2,0,0,1,0,0,0,1,1,1,2,0,1,1,2,0,2,1,2,2,2,1,1,0,0,1,1,1,2,0,1,2,1,1,1,1,0,1,1,2,0,2,0,1,0,1,0,2,0,1,1,2,2,0,1,1,1,2,1,0,2,1,1,1,2,2,2,2,2,1,1,1,0,0,0,0,1,1,1,2,2,2,0,2,2,2,2,1,2,2,1,2,1,1,0,2,0,2,2,2,1,2,2,2,2,0,0,1,2,0,1,1,0,1,1,1,0,2,2,0,2,0,0,1,2,2,0,1,1,0,0,1,2,0,0,1,2,0,2,0,0,0,0,2,2,0,2,1,2,2,1,0,0,0,2,2,0,2,0,2,0,1,0,1,0,2,1,0,2,2,2,1,1,2,1,1,1,0,2,1,1,0,0,0,1,0,1,2
216_4,0,0,1,0,0,2,0,2,2,1,1,1,2,0,0,1,0,0,0,1,1,1,2,0,1,1,2,0,2,1,2,2,2,0,1,0,0,1,1,1,2,0,1,2,1,1,1,1,0,1,1,2,0,2,0,1,0,1,0,2,0,1,1,2,2,0,1,1,1,2,1,0,2,1,1,1,2,2,2,2,2,1,1,1,0,0,0,0,1,1,1,2,2,2,0,2,2,2,2,1,2,2,1,2,1,1,0,2,0,2,2,2,1,2,2,2,2,0,0,1,2,0,1,1,0,1,1,1,0,2,2,0,2,0,0,1,2,2,0,1,1,0,0,1,2,0,0,1,2,0,2,0,0,0,0,2,2,0,2,1,2,2,1,0,0,0,2,2,0,2,0,2,0,1,0,1,0,2,1,0,2,2,2,1,1,2,1,1,1,0,2,1,1,0,0,0,1,0,1,2
205_4,0:0.01/2:0.99,0:0.01/2:0.99,1,0,0,2,0,2,2,1,1,1,2,0,0,1,0:0.01/1:0.99,0:0.01/1:0.99,0,1,0,1,2,0,0,1,2,0,2,1,2,2,2,0,1,0,0,1,1,0,2,0,0,2,1,0,1,1,0,1,1,2,0,2,0,1,0,1,0,2,0,0,1,2,2,0,1,1,1,2,1,0,2,1,1,1,2,2,2,2,2,1,1,1,0,0,0:0.01/1:0.99,0,1,1,1,2,0,2,0,2,2,2,2,1,0,2,1,2,1,0,0,2,0:0.01/2:0.99,2,2,0,1,2,2,2,2,0,0:0.01/2:0.99,1,0,0,1,1,0,0,1,1,0:0.01/2:0.99,2,2,0,2,0,0:0.01/2:0.99,1,2,2,0,1,1,0,0:0.01/2:0.99,1,2,0:0.01/2:0.99,0,1,2,0,2,0,0:0.01/2:0.99,0,0,0,2,0,2,1,2,0,1,0,0,0,2,2,0,2,0,2,0:0.01/1:0.99,1,0,0,0,2,1,0,2,2,2,1,1,2,1,1,1,0,2,1,1,0,0:0.01/1:0.99,0,1,0:0.01/2:0.99,1,2
216_7,2,2,1,0,0,2,0,2,2,1,1,1,2,0,0,1,1,1,0,1,0,1,2,0,0,1,2,0,2,1,2,2,2,2,1,0,0,1,1,0,2,0,2,2,1,0,1,1,0,1,1,2,0,2,0,1,0,1,0,2,0,0,1,2,2,0,1,1,1,2,1,0,2,1,1,1,2,2,2,2,2,1,1,1,0,0,1,0,1,1,1,2,0,2,0,2,2,2,2,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,2,2,2,0,2,1,0,2,1,1,0,0,1,1,2,2,2,0,2,0,2,1,2,2,0,1,1,0,2,1,2,2,0,1,2,0,2,0,2,0,0,0,2,0,2,1,2,0,1,0,0,0,2,2,0,2,0,2,1,1,0,0,0,2,1,0,2,2,2,1,1,2,1,1,1,0,2,1,1,0,1,2,1,2,1,2
216_6,2,2,1,0,0,2,0,2,2,1,1,1,2,0,0,1,1,1,0,1,0,1,2,0,0,1,2,0,2,1,2,2,2,0,1,0,0,1,1,0,2,2,0,2,1,0,1,1,0,1,1,2,0,2,0,1,0,1,0,2,0,2,1,2,2,0,1,1,1,2,1,0,2,1,1,1,2,2,2,2,2,1,1,1,0,0,1,1,1,1,1,2,0,2,0,2,2,2,2,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,2,2,2,0,2,1,0,0,1,1,0,0,1,1,2,2,2,0,2,0,2,1,2,2,0,1,1,0,2,1,2,2,0,1,2,0,2,0,2,0,0,0,2,0,2,1,2,0,1,0,0,0,2,2,0,2,2,2,1,1,0,0,0,2,1,1,2,2,2,1,1,2,1,1,1,0,2,1,1,0,1,0,1,2,1,2
