[&R] (((((216_1:9.397,216_2:5.397)182_1:14.36,(216_3:7.312,216_4:6.312)187_3:7.446)133_1:26.888,(216_7:4.328,216_8:10.328)184_5:27.317)82_1:47.902,(((216_9:6.302,216_10:7.302)180_5:9.894,(216_11:5.127,216_12:3.127)186_9:19.068)136_4:22.096,((216_15:3.092,216_16:4.092)197_14:9,216_13:18.092)150_7:29.2)85_3:48.255)30_1:44.453)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216_11,1,0,1,2,1,2,2,2,2,2,2,2,0,2,2,2,2,1,1,1,0,2,0,0,0,0,2,0,1,2,0,0,0,1,1,2,0,0,2,0,2,2,0,2,2,2,0,2,2,2,2,0,0,1,0,1,0,1,2,1,0,1,2,0,2,2,1,2,1,1,1,1,1,1,0,2,2,1,1,2,2,0,1,2,2,2,2,2,0,1,2,2,2,0,1,2,0,0,0,2,0,0,2,1,1,2,2,0,2,2,2,1,0,2,2,0,2,0,2,0,1,0,0,2,2,2,2,0,1,2,0,2,2,0,0,2,2,0,2,1,2,2,2,2,1,2,2,1,1,0,2,1,0,2,0,0,2,1,0,2,1,0,1,0,2,0,2,1,1,2,2,2,1,1,0,1,2,2,2,0,0,2,2,2,0,1,1,0,1,0,0,0,2,1,1,2,0,1,1,0
180_5,1,0,1,2,1,2,2,0,0,2,2,2,0:0.03/1:0.97,2,2,2,2,1,0,1,0,2,0,0:0.03/1:0.97,0,0,2,0,1,0:0.03/1:0.97,0,0,0,1,1,2,0,0,2,0,2,2,0,2,2,2,0,2,2,2,2,0,0,1,0:0.03/2:0.97,1,0,1,2,1,0,0,2,0,2,2,1,2,1,1,1,0,1,1,0,2,2,0,1,2,2,0,1,2,2,0,2,2,0,1,2,0,2,0,0,2,0,0:0.03/2:0.97,0,0,0,0:0.03/2:0.97,0,0,1,2,2,0,2,2,2,1,0:0.03/2:0.97,2,2,0:0.03/2:0.97,2,0,2,0,0,0,0,2,2,0,2,0,1,0,0,2,2,0,0,2,2,0,2,0,0,2,2,2,1,2,2,1,1,0,0,1,0,2,0,0,2,1,0,2,0,0,0:0.03/1:0.97,0,2,0,0,1,1,2,2,2,1,1,0,0,2,2,2,0,0,2,2,2,0,1,1,0,1,0,0,0,2,1,1,2,0,1,1,0
216_10,1,0,1,2,1,2,2,0,0,2,2,2,1,2,2,2,2,1,0,1,0,2,0,1,0,0,2,0,1,1,0,0,0,1,1,2,0,0,2,0,2,2,0,2,2,2,0,2,2,2,2,0,0,1,2,1,0,1,2,1,0,0,2,0,2,2,1,2,1,1,1,0,1,1,0,2,2,0,1,2,2,0,1,2,2,2,2,2,0,1,2,0,2,0,0,2,0,2,0,0,0,2,2,0,1,2,2,0,2,2,2,1,2,2,2,2,2,0,2,2,0,1,0,2,2,0,2,0,1,0,0,2,2,1,0,2,2,0,2,0,0,2,2,2,1,2,2,1,1,0,2,1,1,2,0,0,2,1,0,2,0,0,1,0,2,0,0,1,1,2,2,2,1,1,0,0,2,2,2,0,0,2,2,2,0,1,1,0,1,0,0,0,2,1,1,2,0,1,1,0
216_9,1,0,1,2,1,2,2,0,0,2,2,2,1,2,2,2,2,1,0,1,0,2,0,1,0,0,2,0,1,1,0,0,0,1,1,2,0,2,2,0,2,2,2,2,2,2,0,2,2,2,2,0,0,1,2,1,0,1,2,1,2,0,2,0,2,2,1,2,1,1,1,0,1,1,0,2,2,1,1,2,2,0,1,2,2,0,2,2,0,1,2,0,2,0,0,2,0,2,0,0,0,2,0,0,1,2,2,0,2,2,2,1,2,2,2,2,2,0,2,0,0,0,0,2,2,0,2,0,1,0,0,2,2,0,0,2,2,0,2,0,1,2,2,2,1,2,2,1,1,0,0,1,0,2,0,0,2,1,0,2,0,0,1,2,2,0,0,1,1,2,2,2,1,1,0,0,2,2,2,0,0,2,2,2,0,1,1,0,1,0,0,0,2,1,1,2,0,1,1,0
82_1,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.07/1:0.93,0:0.07/1:0.93,0,0,0,0:0.07/1:0.93,0:0.01/2:0.99,0:0.01/1:0.99,0:0.07/2:0.93,0:0.01/1:0.99,0,0,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0,0,0,0,0,0,0:0.07/1:0.93,0,0,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.07/2:0.93,0:0.01/2:0.99,0:0.07/1:0.93,0:0.07/1:0.93,0:0.07/2:0.93,0,0,0,0,0:0.07/1:0.93,0,0,0,0,0:0.01/2:0.99,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.07/1:0.93,0,0:0.07/2:0.93,0,0:0.07/1:0.93,0:0.07/1:0.93,0,0:0.07/1:0.93,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0:0.07/1:0.93,0:0.01/1:0.99,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.07/1:0.93,0,0:0.01/2:0.99,0,0,0,0:0.07/1:0.93,0,0,0,0:0.07/2:0.93,0,0,0:0.07/1:0.93,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0:0.01/2:0.99,0,0,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.07/2:0.93,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.07/1:0.93,0:0.01/1:0.99,0,0,0:0.07/1:0.93,0,0:0.01/2:0.99,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.07/2:0.93,0:0.07/2:0.93,0,0,0:0.07/2:0.93,0,0,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.07/1:0.93,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.07/2:0.93,0:0.01/2:0.99,0,0,0,0,0:0.07/2:0.93,0:0.07/2:0.93,0:0.01/1:0.99,0:0.07/2:0.93,0,0,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0
184_5,1,0,0,2,1,2,2,0:0.01/1:0.99,0:0.01/2:0.99,2,1,1,0,0,0,1,2,1,2,1,0,0,0,1,2,1,0,0:0.01/1:0.99,1,0,0,0:0.01/1:0.99,0,0,0,1,0,0,2,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/1:0.99,2,2,0,0,2,2,2,1,1,2,0,0,0,0,1,0,0,0,0,2,0,0,1,1,2,1,0,1,0:0.01/2:0.99,2,0,1,1,0:0.01/1:0.99,1,2,2,2,1,1,0,1,0:0.01/2:0.99,2,2,1,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,1,2,2,0,1,0,2,1,0:0.01/1:0.99,0,2,0,0,0:0.01/2:0.99,2,0:0.01/2:0.99,2,2,2,0,0,2,2,0,0,0,2,2,2,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0,0,0,2,2,0,2,2,2,1,0:0.01/1:0.99,0:0.01/2:0.99,1,1,0,0:0.01/1:0.99,1,0,2,1,0:0.01/2:0.99,2,0,2,2,0:0.01/2:0.99,0:0.01/2:0.99,2,0,0,0,0,0,2,0,1,1,0,0,2,2,0,2,2,0,0,0:0.01/2:0.99,0,2,2,1,2,0,0:0.01/1:0.99,0,0:0.01/2:0.99,1,0,0,1,1,0
216_8,1,1,0,2,1,2,2,1,2,2,1,1,0,0,0,1,2,1,2,1,0,0,0,1,2,1,0,1,1,0,0,1,0,2,0,1,0,1,2,0,1,2,1,2,2,0,0,2,2,2,1,1,2,0,0,0,0,1,0,0,1,0,2,0,0,1,1,2,1,0,1,2,2,0,1,1,1,1,2,2,2,1,1,0,1,2,2,2,1,0,2,2,1,0,1,0,0,0,2,0,0,1,0,0,1,2,2,0,1,0,2,1,1,0,2,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,0,2,0,0,2,0,2,1,2,2,0,2,2,2,1,1,2,1,1,0,1,1,0,2,1,2,2,0,2,2,2,2,2,0,0,0,0,0,2,0,1,1,0,0,2,2,0,2,2,0,0,2,0,2,2,1,2,0,1,0,2,1,0,0,1,1,0
216_7,1,0,0,2,1,2,2,1,2,2,1,1,0,0,0,1,2,1,2,1,0,2,0,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0,2,0,1,2,1,2,2,0,0,2,2,2,1,1,2,0,0,0,0,1,0,0,0,0,2,0,0,1,1,2,1,0,1,2,2,0,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,1,2,2,0,1,0,2,1,1,0,2,0,0,2,2,2,2,2,2,0,0,2,2,0,0,0,2,2,2,0,2,0,0,2,0,0,0,2,2,0,2,2,2,1,1,2,1,1,0,1,1,0,2,1,2,2,0,2,2,2,2,2,0,0,0,0,0,2,0,1,1,0,0,2,2,0,2,2,1,0,2,0,2,2,1,2,0,1,0,2,1,2,0,1,1,0
133_1,1,0,0,2,1,2,2,0,0,2,1,1,0,0,0:0.03/1:0.97,1,2,1,2,1,0:0.03/1:0.97,0,0,1,2,1,0,0:0.03/2:0.97,1,0,0:0.03/1:0.97,0:0.03/2:0.97,0,0,0,1,0,0:0.03/2:0.97,2,0,0,0,0,2,2,0:0.03/1:0.97,0,2,2,2,1,1,2,0,0:0.03/2:0.97,0:0.03/2:0.97,0:0.03/2:0.97,1,0,0,0:0.03/2:0.97,0,2,0,0,1,1,2,1,0,1,0,2,0,1,1,0,1,2,2,2,1,1,0,1,0,2,2,1,0,2,0,0,0,1,0:0.03/1:0.97,0,0:0.03/1:0.97,2,0,0,1,0,0,1,2,2,0,1,0,2,1,0,0,2,0:0.03/1:0.97,0,0,2,0,2,2,2,0,0:0.03/2:0.97,2,2,0,0:0.03/1:0.97,0,2,2,2,0,0:0.03/1:0.97,0,0,0,0,0:0.03/1:0.97,0,2,2,0:0.03/1:0.97,2,2,2,1,0,0,1,1,0:0.03/1:0.97,0,1,0,2,1,0,2,0,2,2,0,0,2,0:0.03/2:0.97,0,0,0,0,2,0,1,1,0,0,2,2,0,2,2,0,0:0.03/1:0.97,0,0:0.03/2:0.97,2,2,1,2,0,0,0,0,1,0,0,1,1,0:0.03/1:0.97
187_3,1,0,0,2,1,2,2,0,0,2,1,1,0,0,1,1,2,1,2,1,1,0,0,1,2,1,0,2,1,0,1,2,0,0,0,1,0:0.04/2:0.96,2,2,0,0,0,0,2,2,1,0,2,2,2,1,1,2,0,2,2,2,1,0,0,2,0,2,0,0,1,1,2,1,0,1,0,2,0,1,1,0,1,2,2,2,1,1,0:0.04/2:0.96,1,0,2,2,1,0:0.04/1:0.96,2,0,0,0,1,1,0,1,2,0,0,1,0,0,1,2,2,0,1,0,2,1,0,0,2,1,0,0:0.04/2:0.96,2,0,2,2,2,0,2,2,2,0,1,0,2,2,2,0,1,0,0,0,0,1,0,2,2,1,2,2,2,1,0,0,1,1,1,0,1,0,2,1,0,2,0,2,2,0,0,2,2,0,0,0:0.04/1:0.96,0,2,0,1,1,0,0,2,2,0:0.04/2:0.96,2,2,0,1,0,2,2,2,1,2,0,0,0,0,1,0:0.04/2:0.96,0,1,1,1
216_4,1,0,0,2,1,2,2,0,0,2,1,1,0,0,1,1,2,1,2,1,1,0,0,1,2,1,0,2,1,1,1,2,0,0,0,1,2,2,2,0,0,0,0,2,2,1,0,2,2,2,1,1,2,0,2,2,2,1,0,0,2,2,2,0,0,1,1,2,1,0,1,0,2,0,1,1,0,1,2,2,2,1,1,2,1,0,2,2,1,1,2,0,0,0,1,1,0,1,2,0,0,1,0,0,1,2,2,0,1,0,2,1,0,0,2,1,1,2,2,0,2,2,2,0,2,2,2,0,1,0,2,2,2,0,1,0,0,0,0,1,0,2,2,1,2,2,2,1,0,0,1,1,1,0,1,2,2,1,0,2,0,2,2,0,2,2,2,0,0,1,0,2,0,1,1,0,0,2,2,2,2,2,1,1,0,2,2,2,1,2,0,0,0,0,1,2,0,1,1,1
216_3,1,0,0,2,1,2,2,0,0,2,1,1,0,0,1,1,2,1,2,1,1,0,0,1,2,1,0,2,1,0,1,2,0,2,0,1,2,2,2,0,0,0,0,2,2,1,0,2,2,2,1,1,2,0,2,2,2,1,0,0,2,0,2,0,1,1,1,2,1,0,1,0,2,0,1,1,0,1,2,2,2,1,1,2,1,0,2,2,1,1,2,0,0,0,1,1,0,1,2,0,0,1,0,0,1,2,2,0,1,0,2,1,0,0,2,1,0,2,2,0,2,2,2,1,2,2,2,0,1,1,2,2,2,0,1,0,0,0,0,1,2,2,2,1,2,2,2,1,0,0,1,1,1,0,1,0,2,1,0,2,0,2,2,0,0,2,2,0,0,1,0,2,0,1,1,2,0,2,2,2,2,2,0,1,0,2,2,2,1,2,0,0,0,1,1,2,0,1,1,1
