cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_6,1,1,2,2,0,1,2,2,1,1
216_5,1,1,2,2,0,1,2,2,1,1
216_8,1,0,2,2,0,1,2,2,1,1
216_7,1,0,2,2,0,1,2,2,1,1
216_4,1,0,0,2,0,1,1,2,1,1
216_3,1,0,0,2,0,1,1,2,1,1
216_2,1,0,2,2,0,1,0,2,1,1
216_1,1,0,2,2,2,1,0,2,1,1
216_18,2,0,0,0,2,2,2,1,2,2
216_17,2,0,0,0,2,2,2,1,2,2
216_20,2,0,1,0,2,2,2,1,2,2
216_19,2,0,0,0,2,2,2,1,2,2
216_22,2,1,1,0,0,2,0,1,2,2
216_21,0,1,0,0,0,2,0,1,2,2
216_24,0,1,0,1,0,2,0,1,2,2
216_23,0,1,1,1,0,2,0,1,2,2
216_13,0,1,0,2,1,0,2,1,0,0
216_16,2,1,0,0,1,1,0,1,2,2
216_15,2,1,0,0,1,1,0,1,2,2
