cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_25,0,1,1,1,2,1,1,1,1,0
216_28,0,1,1,1,2,1,1,1,1,0
216_24,2,1,1,1,2,0,1,1,1,0
216_23,2,1,1,1,2,0,1,1,1,0
216_22,2,1,1,1,2,1,1,1,1,0
216_21,2,1,1,1,2,1,1,1,1,0
216_16,0,1,1,0,0,0,1,1,1,0
216_17,0,1,1,0,0,0,1,1,1,0
216_18,0,1,1,0,0,1,1,1,1,0
216_20,0,1,1,0,0,0,1,1,1,0
216_19,0,1,1,0,0,0,1,1,1,0
216_6,1,2,1,1,0,1,1,2,1,2
216_7,1,2,1,1,0,1,1,2,1,2
216_2,1,2,1,0,0,1,1,2,1,2
216_1,1,2,1,0,0,1,1,2,1,2
216_4,1,2,1,0,0,1,1,2,1,2
216_3,1,2,1,0,0,1,1,2,1,2
216_8,1,2,1,1,0,1,1,2,1,2
216_10,1,2,1,2,0,1,1,2,1,2
216_9,1,2,1,2,0,1,1,2,1,2
216_12,1,2,1,0,0,1,1,2,1,2
216_14,1,2,1,0,0,1,1,2,1,2
