cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
216_1,0,0,1,1,0,2,1,1,1,2
216_3,0,0,1,1,1,2,1,0,1,2
216_2,0,1,1,1,0,2,1,0,1,2
216_5,1,1,1,1,1,2,2,0,1,2
216_4,1,0,1,1,1,2,2,0,1,2
216_7,1,2,1,1,1,2,1,0,1,2
216_6,1,2,1,1,1,2,0,1,1,2
216_18,0,1,0,0,1,2,2,1,0,2
216_17,0,1,0,0,1,2,2,1,0,2
216_20,0,1,0,0,1,2,0,0,0,2
216_19,0,1,0,0,1,2,0,0,0,2
216_16,1,1,0,1,0,2,0,0,0,0
216_15,1,1,2,0,0,2,0,2,0,1
216_14,1,1,2,0,0,2,0,2,0,1
216_9,2,0,1,1,1,2,2,1,0,2
216_8,2,1,1,1,1,2,2,1,0,2
216_11,0,0,1,0,1,1,0,0,1,0
216_10,0,0,1,0,1,1,2,0,1,0
216_13,1,0,1,2,1,1,2,0,0,0
216_12,0,0,1,0,0,1,1,0,0,0
