cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
I0,0,0,0,0,0,0,0,0,0,0
I1,1,0,0,1,1,2,1,2,1,0
I2,1,2,0,1,1,2,1,2,1,0
216_4,1,2,0,1,1,2,1,2,1,0
216_3,1,2,0,1,1,2,1,2,1,0
I3,1,0,1,1,1,2,1,2,1,0
216_2,1,0,1,1,1,2,1,2,1,0
216_1,1,0,1,1,1,2,1,2,1,0
I4,0,0,0,0,1,0,0,1,0,2
I5,2,2,0,1,1,1,1,1,0,2
I6,2,2,0,1,1,1,1,1,0,2
I7,2,2,0,1,1,1,1,1,0,2
216_30,2,2,0,1,1,1,1,1,0,2
216_29,2,2,0,1,1,1,1,1,0,2
I8,2,2,2,1,1,1,1,1,1,2
I9,2,2,2,1,1,1,1,1,1,2
216_28,2,2,2,1,1,1,1,1,1,2
216_27,2,2,2,1,1,1,1,1,1,2
I10,2,2,2,1,1,1,1,1,1,2
216_26,2,2,2,1,1,1,1,1,1,2
216_25,2,2,2,1,1,1,1,1,1,2
I11,2,2,0,1,1,1,1,1,0,2
I12,2,2,0,1,1,1,1,1,0,2
216_24,2,2,0,1,1,1,1,1,0,2
216_23,2,2,0,1,1,1,1,1,0,2
I13,2,2,1,1,1,1,1,1,0,2
216_22,2,2,1,1,1,1,1,1,0,2
216_21,2,2,1,1,1,1,1,1,0,2
I14,0,0,0,0,1,0,1,1,0,2
I15,0,0,0,1,1,0,1,1,0,2
I16,0,0,0,1,1,0,1,1,0,2
I17,0,0,1,1,1,0,1,1,0,2
216_16,0,0,1,1,1,0,1,1,0,2
216_15,0,0,1,1,1,0,1,1,0,2
I18,2,1,1,1,1,1,1,1,0,2
216_14,2,1,1,1,1,1,1,1,0,2
216_13,2,1,1,1,1,1,1,1,0,2
I19,0,0,0,1,1,0,1,1,2,2
216_17,0,0,0,1,1,2,1,1,2,2
I20,0,0,0,1,1,0,1,1,2,2
216_20,0,0,0,1,1,0,1,1,2,2
216_19,0,0,0,1,1,0,1,1,2,2
I21,2,0,0,0,1,2,1,1,0,2
I22,2,0,0,0,1,2,1,1,0,2
I23,2,0,0,0,1,2,1,1,0,2
216_8,2,0,0,0,1,2,1,1,0,2
216_7,2,0,0,0,1,2,1,1,0,2
I24,2,0,0,0,1,2,1,1,1,2
216_6,2,0,0,0,1,2,1,1,1,2
216_5,2,0,0,0,1,2,1,1,1,2
I25,2,0,0,2,1,2,1,1,1,2
216_9,2,1,2,2,1,2,1,1,1,2
216_12,2,0,0,2,1,2,1,1,1,2
Evolve tree: [&R] (((((216_12:54,216_9:54)I25:38,((216_5:12,216_6:12)I24:39,(216_7:11,216_8:11)I23:40)I22:41)I21:39,(((216_19:7,216_20:7)I20:40,216_17:47)I19:40,((216_13:11,216_14:11)I18:35,(216_15:3,216_16:3)I17:43)I16:41)I15:44)I14:43,(((216_21:40,216_22:40)I13:46,(216_23:36,216_24:36)I12:50)I11:44,(((216_25:7,216_26:7)I10:37,(216_27:3,216_28:3)I9:41)I8:40,(216_29:38,216_30:38)I7:46)I6:46)I5:44)I4:41,((216_1:9,216_2:9)I3:44,(216_3:3,216_4:3)I2:50)I1:162)I0;
