[&R] (((((216_3:4.114,216_4:3.114)202_2:16.951,(216_1:3.042,216_2:1.042)203_1:26.023)161_1:27.12,((216_7:5.189,216_8:4.189)207_6:25.055,(216_5:4.137,216_6:4.137)208_5:21.107)161_2:17.941)114_1:39.118,(((216_9:0.001,216_10:0.001)213_9:20.502,216_11:8.503)169_5:24.702,((216_12:0.001,216_13:0.001)214_12:15.061,(216_14:1.008,216_15:1.008)215_14:10.054)172_7:22.144)123_3:45.098)61_1:59.697)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216_11,0,2,2,1,1,1,2,0,2,2,0,2,2,1,2,2,1,2,1,1,0,1,1,1,2,1,1,2,0,0,2,2,2,0,2,0,1,1,2,1,1,0,1,2,0,2,1,0,2,0,2,1,0,1,1,2,1,0,1,1,0,1,2,0,1,2,1,1,0,0,0,0,2,2,0,2,2,0,1,0,2,1,2,2,0,1,0,2,2,1,0,1,2,2,0,2,0,0,2,2,2,0,2,0,0,1,0,2,2,0,0,1,1,2,2,2,1,2,2,0,2,2,2,1,0,2,1,1,0,1,2,0,0,0,1,2,0,1,0,2,2,2,1,2,1,2,1,1,2,2,0,1,1,0,0,2,2,2,2,2,0,1,1,0,1,0,0,2,2,1,2,0,1,1,2,1,0,0,0,0,2,1,1,2,0,0,2,2,2,0,0,1,0,2,0,0,1,1,2,1
213_9,0,2,0,1,1,1,2,0,2,2,0,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,0,2,2,2,2,0,2,0,1,1,2,1,1,0,1,2,0,2,1,0,2,0,2,1,0,1,1,2,1,1,1,1,1,1,2,0,1,2,1,1,0,0,2,0,2,2,0,2,0,0,1,2,2,1,2,2,0,1,0,2,2,1,0,2,2,2,0,2,1,1,2,2,2,2,2,0,0,1,0,1,2,0,0,1,1,2,2,2,1,2,2,0,2,2,2,1,0,2,1,1,0,0,2,0,0,2,1,2,1,1,0,2,2,2,1,2,1,2,1,1,2,2,2,1,1,0,2,2,0,2,2,2,0,1,1,0,1,0,0,2,2,1,2,0,0,1,2,1,1,0,0,1,2,1,1,2,0,0,2,2,2,1,1,1,0,2,0,0,1,1,2,1
216_10,0,2,0,1,1,1,2,0,2,2,0,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,0,2,2,2,2,0,2,0,1,1,2,1,1,0,1,2,0,2,1,0,2,0,2,1,0,1,1,2,1,1,1,1,1,1,2,0,1,2,1,1,0,0,2,0,2,2,0,2,0,0,1,2,2,1,2,2,0,1,0,2,2,1,0,2,2,2,0,2,1,1,2,2,2,2,2,0,0,1,0,1,2,0,0,1,1,2,2,2,1,2,2,0,2,2,2,1,0,2,1,1,0,0,2,0,0,2,1,2,1,1,0,2,2,2,1,2,1,2,1,1,2,2,2,1,1,0,2,2,0,2,2,2,0,1,1,0,1,0,0,2,2,1,2,0,0,1,2,1,1,0,0,1,2,1,1,2,0,0,2,2,2,1,1,1,0,2,0,0,1,1,2,1
216_9,0,2,0,1,1,1,2,0,2,2,0,2,2,1,2,2,1,2,1,1,1,1,1,1,2,1,1,2,0,2,2,2,2,0,2,0,1,1,2,1,1,0,1,2,0,2,1,0,2,0,2,1,0,1,1,2,1,1,1,1,1,1,2,0,1,2,1,1,0,0,2,0,2,2,0,2,0,0,1,2,2,1,2,2,0,1,0,2,2,1,0,2,2,2,0,2,1,1,2,2,2,2,2,0,0,1,0,1,2,0,0,1,1,2,2,2,1,2,2,0,2,2,2,1,0,2,1,1,0,0,2,0,0,2,1,2,1,1,0,2,2,2,1,2,1,2,1,1,2,2,2,1,1,0,2,2,0,2,2,2,0,1,1,0,1,0,0,2,2,1,2,0,0,1,2,1,1,0,0,1,2,1,1,2,0,0,2,2,2,1,1,1,0,2,0,0,1,1,2,1
114_1,0:0.08/2:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0,0:0.08/2:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.08/1:0.92,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.08/1:0.92,0,0:0.08/2:0.92,0:0.01/1:0.99,0,0,0:0.08/2:0.92,0,0,0:0.01/2:0.99,0,0:0.08/1:0.92,0:0.01/1:0.99,0,0,0,0:0.08/2:0.92,0:0.01/1:0.99,0:0.08/1:0.92,0,0,0:0.08/2:0.92,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.08/1:0.92,0:0.08/2:0.92,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.08/2:0.92,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0,0:0.01/2:0.99,0,0,0,0,0:0.01/1:0.99,0,0,0,0,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0,0:0.08/1:0.92,0,0:0.01/1:0.99,0:0.01/1:0.99,0:0.08/2:0.92,0,0,0,0:0.08/2:0.92,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0:0.01/1:0.99,0,0:0.08/1:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0,0,0:0.01/2:0.99,0,0,0,0:0.08/1:0.92,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0,0:0.01/2:0.99,0,0:0.08/2:0.92,0,0:0.01/2:0.99,0:0.08/1:0.92,0:0.08/1:0.92,0,0:0.08/1:0.92,0:0.08/2:0.92,0:0.01/2:0.99,0:0.08/2:0.92,0:0.01/1:0.99,0:0.01/2:0.99,0:0.08/2:0.92,0:0.08/2:0.92,0,0,0:0.01/2:0.99,0:0.08/2:0.92,0:0.08/2:0.92,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.08/1:0.92,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99
161_2,0:0.01/2:0.99,2,0:0.01/1:0.99,0,0:0.01/2:0.99,1,2,0,2,0:0.01/1:0.99,0:0.01/2:0.99,0:0.15/2:0.85,2,0,0,2,1,2,0,0,0,0:0.15/1:0.85,1,0:0.15/2:0.85,0,1,0,0:0.15/1:0.85,0,0,2,0,2,0,0:0.01/1:0.99,0,0:0.01/2:0.99,1,0:0.15/2:0.85,0,0:0.01/2:0.99,0,0:0.15/1:0.85,2,0,0:0.01/1:0.99,1,0,0,0,0:0.01/2:0.99,1,0:0.01/1:0.99,0,0,0:0.01/2:0.99,1,0,1,1,0:0.01/1:0.99,1,2,0,0,0,1,1,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.15/1:0.85,2,0,2,0,0,1,0:0.01/2:0.99,0,1,0,2,0,0,0,2,2,1,0,0,2,2,0:0.15/2:0.85,0,0,0,0,0,2,0,0,0:0.15/2:0.85,0,1,0,0,0:0.15/1:0.85,0,0:0.01/1:0.99,1,1,0,0,0,1,2,0,0,0:0.15/1:0.85,2,0:0.15/1:0.85,0:0.15/2:0.85,0:0.01/1:0.99,0,1,1,0:0.01/2:0.99,0:0.15/1:0.85,0,0,0:0.01/2:0.99,0,1,2,0,0,0,0,2,0,1,0:0.15/2:0.85,1,0,0:0.01/1:0.99,1,2,2,0,0:0.15/1:0.85,1,0:0.01/2:0.99,0,2,0,0,0,2,0,0,0,0:0.01/1:0.99,1,0,0,2,2,0,2,0,0:0.01/2:0.99,0,2,0:0.01/1:0.99,0:0.01/1:0.99,0,0:0.01/1:0.99,0:0.01/2:0.99,2,0:0.01/2:0.99,1,2,0:0.01/2:0.99,0:0.01/2:0.99,0,0,2,0:0.01/2:0.99,0:0.01/2:0.99,1,0:0.15/1:0.85,2,0:0.01/1:0.99,0,1,1,0:0.15/2:0.85,1
208_5,2,2,1,0,2,1,2,0:0.01/2:0.99,2,1,2,2,2,0,0,2,1,2,0,0,0,1,1,2,0,1,0:0.01/1:0.99,1,0,0,2,0,2,0,1,0,2,1,2,0,2,0,1,2,0,1,1,0,0:0.01/2:0.99,0,2,1,1,0,0,2,1,0,1,1,1,1,2,0,0:0.01/2:0.99,0,1,1,0:0.01/2:0.99,1,2,2,1,2,0,2,0,0,1,2,0,1,0,2,0,0,0,2,2,1,0,0,2,2,2,0,0,0,0,0,2,0,0:0.01/2:0.99,2,0,1,0:0.01/1:0.99,0:0.01/2:0.99,1,0,1,1,1,0,0,0:0.01/2:0.99,1,2,0,0,1,2,1,2,1,0,1,1,2,1,0:0.01/1:0.99,0,2,0,1,2,0,0:0.01/1:0.99,0,0,2,0,1,2,1,0:0.01/2:0.99,1,1,2,2,0,1,1,2,0,2,0:0.01/1:0.99,0,0,2,0:0.01/2:0.99,0,0,1,1,0:0.01/2:0.99,0,2,2,0,2,0,2,0:0.01/2:0.99,2,1,1,0,1,2,2,2,1,2,2,2,0,0:0.01/2:0.99,2,2,2,1,1,2,1,0:0.01/2:0.99,1,1,2,1
216_6,2,2,1,0,2,1,2,2,2,1,2,2,2,0,0,2,1,2,0,0,0,1,1,2,0,1,1,1,0,0,2,0,2,0,1,0,2,1,2,0,2,0,1,2,0,1,1,0,2,0,2,1,1,0,0,2,1,0,1,1,1,1,2,0,2,0,1,1,2,1,2,2,1,2,0,2,0,0,1,2,0,1,0,2,0,0,0,2,2,1,0,0,2,2,2,2,0,0,0,0,2,0,2,2,2,1,1,2,1,0,1,1,1,0,0,2,1,2,0,0,1,2,1,2,1,0,1,1,2,1,1,0,2,0,1,2,0,1,0,0,2,0,1,2,1,2,1,1,2,2,0,1,1,2,0,2,1,1,2,2,2,0,0,1,1,2,0,2,2,0,2,0,2,2,2,1,1,0,1,2,2,2,1,2,2,2,0,2,2,2,2,1,1,2,1,2,1,1,2,1
216_5,2,2,1,0,2,1,2,2,2,1,2,2,2,0,0,2,1,2,0,0,0,1,1,2,0,1,1,1,0,0,2,0,2,0,1,0,2,1,2,0,2,0,1,2,0,1,1,0,2,1,2,1,1,0,0,2,1,0,1,1,1,1,2,0,2,0,1,1,2,1,2,2,1,2,0,2,0,0,1,2,0,1,0,2,0,0,0,2,2,1,0,1,2,2,2,0,1,0,0,0,2,0,2,2,0,1,1,2,1,0,1,1,1,0,0,2,1,2,0,0,1,2,1,2,1,2,1,1,2,1,1,0,2,0,1,2,0,1,0,0,2,0,1,2,1,2,1,1,2,2,0,1,1,2,0,2,1,0,0,2,2,0,0,1,1,2,0,2,2,0,2,0,2,2,2,1,1,0,1,2,2,2,1,2,2,2,0,2,2,2,2,1,1,2,1,2,1,1,2,1
207_6,2,2,1,0,2,1,2,0,2,1,2,2,2,0,0,2,1,2,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/2:0.99,1,1,2,0,1,0:0.01/2:0.99,1,0,0,2,0,2,0,1,0,2,1,2,0:0.01/1:0.99,2,0:0.01/2:0.99,1,2,0:0.01/2:0.99,1,1,0,0,0,2,1,1,0:0.01/2:0.99,0,2,1,0,1,1,1,1,2,0,0,0,1,1,0,1,2,2,1,2,0,2,0,0,1,2,0:0.01/2:0.99,1,0,2,0,0:0.01/1:0.99,0,2,2,1,0:0.01/1:0.99,0,2,2,2,0:0.01/2:0.99,0,0,0,0,2,0:0.01/1:0.99,0:0.01/1:0.99,2,0,1,0,0,1,0:0.01/2:0.99,1,1,1,0,0,0,1,2,0,0,1,2,1,2,1,0:0.01/2:0.99,1,1,2,1,0,0,2,0,1,2,0,0,0,0:0.01/2:0.99,2,0,1,2,1,0:0.01/1:0.99,1,1,2,2,0,1,1,2,0:0.01/2:0.99,2,0,0,0,2,0,0:0.01/2:0.99,0,1,1,0,0:0.01/1:0.99,2,2,0:0.01/2:0.99,2,0,2,0,2,1,1,0,1,2,2,2,1,2,2,2,0,0,2,2,2,1,1,2,1,0,1,1,2,1
216_8,2,2,1,0,2,1,2,0,2,1,2,2,2,0,0,2,1,2,2,1,2,1,1,2,0,1,2,1,0,0,2,0,2,0,1,0,2,1,2,1,2,2,1,2,2,1,1,0,0,0,2,1,1,2,0,2,1,0,1,1,1,1,2,0,0,0,1,1,0,1,2,2,1,2,0,2,2,0,1,2,2,1,0,2,0,1,2,2,2,1,1,0,2,2,2,2,0,0,0,0,2,1,1,2,0,1,0,0,1,2,1,1,1,0,0,0,1,2,0,0,1,2,1,2,1,2,1,1,2,1,2,2,2,0,1,2,0,0,0,2,2,0,1,2,1,1,1,1,2,2,0,1,1,2,2,2,0,0,0,2,0,2,0,1,1,0,1,2,2,2,2,0,2,0,2,1,1,0,1,2,2,2,1,2,2,2,0,0,2,2,2,1,1,2,1,0,1,1,2,1
