[&R] (((((216_3:0.002,216_4:1.002)203_3:4.297,(216_5:1.018,216_6:2.018)208_5:8.281)157_2:29.146,(216_1:2.095,216_2:5.095)168_1:29.35)73_1:48.864,(((216_9:5.344,216_10:9.344)194_6:12.993,(216_7:1.028,216_8:3.028)198_5:18.309)140_3:25.129,(216_11:6.139,216_12:3.139)197_8:39.327)76_3:29.842)26_1:53.692)I0;
I0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216_10,1,2,2,1,1,0,0,1,1,1,0,2,1,2,1,0,0,2,2,2,2,1,2,2,0,2,0,1,1,0,0,1,0,0,2,2,0,1,0,1,1,0,1,2,0,0,2,1,1,0,2,0,0,0,2,2,1,0,2,0,0,0,1,1,2,1,0,2,1,2,0,2,0,0,0,0,0,1,2,1,0,1,2,1,0,0,1,2,2,0,2,2,2,1,1,1,0,1,1,2,2,2,0,2,2,1,0,2,1,2,2,1,0,0,2,2,2,1,0,0,0,0,2,1,1,1,0,1,0,0,2,1,0,1,2,2,1,0,1,0,1,0,0,1,2,2,0,0,1,2,2,1,0,2,0,1,0,1,0,2,2,2,2,0,0,0,1,0,1,2,2,0,2,1,1,1,1,1,1,1,0,0,1,2,0,1,0,2,1,1,1,2,2,2,1,0,2,2,2,0
216_9,1,2,2,1,1,0,0,1,1,1,0,2,1,2,1,0,0,2,2,2,2,1,2,2,0,2,0,1,1,0,0,1,0,0,2,2,0,1,0,1,1,2,1,0,0,2,2,0,1,0,0,0,0,0,2,2,1,0,2,0,0,0,1,1,2,1,2,0,1,2,0,2,0,0,0,0,0,1,2,1,0,1,2,1,0,0,1,2,2,0,2,2,2,1,1,1,0,1,1,2,2,2,0,2,2,0,0,2,1,2,2,1,0,0,2,2,2,1,0,0,0,0,2,1,1,1,0,1,0,0,2,0,0,1,2,2,1,0,0,0,1,0,0,1,2,2,0,0,1,2,2,1,0,2,0,1,0,1,0,2,2,2,2,1,0,0,1,0,1,2,2,0,2,1,1,1,0,0,1,1,0,0,1,2,0,1,1,2,1,1,1,2,2,2,1,0,2,2,2,0
73_1,0:0.01/1:0.99,0:0.08/2:0.92,0,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0:0.01/1:0.99,0,0,0,0:0.01/2:0.99,0:0.08/2:0.92,0,0:0.01/1:0.99,0,0:0.08/1:0.92,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0:0.01/1:0.99,0,0,0:0.08/1:0.92,0,0:0.08/1:0.92,0,0,0:0.08/2:0.92,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.08/1:0.92,0,0:0.08/1:0.92,0,0:0.01/1:0.99,0,0,0,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0,0,0:0.08/2:0.92,0,0,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.08/2:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0:0.08/1:0.92,0:0.08/1:0.92,0,0:0.01/1:0.99,0,0:0.08/2:0.92,0:0.08/1:0.92,0,0:0.01/1:0.99,0,0,0:0.01/2:0.99,0,0,0,0:0.08/1:0.92,0,0:0.01/1:0.99,0:0.01/2:0.99,0,0:0.08/1:0.92,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.08/1:0.92,0:0.08/1:0.92,0,0,0,0:0.08/2:0.92,0:0.01/2:0.99,0:0.08/1:0.92,0:0.01/2:0.99,0:0.08/2:0.92,0,0,0,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.01/2:0.99,0:0.08/1:0.92,0,0,0,0,0,0:0.01/1:0.99,0:0.01/2:0.99,0:0.01/2:0.99,0,0,0,0,0,0:0.01/2:0.99,0:0.08/2:0.92,0:0.08/2:0.92,0:0.08/2:0.92,0,0,0:0.01/2:0.99,0:0.01/1:0.99,0:0.01/1:0.99,0,0,0,0:0.08/1:0.92,0,0:0.01/2:0.99,0,0,0:0.01/1:0.99,0,0,0:0.08/2:0.92,0,0,0,0,0,0:0.08/1:0.92,0:0.01/1:0.99,0,0:0.01/2:0.99,0,0:0.08/1:0.92,0,0:0.01/2:0.99,0:0.01/2:0.99,0:0.08/2:0.92,0,0:0.01/2:0.99,0,0:0.08/2:0.92,0:0.08/1:0.92,0:0.01/1:0.99,0,0:0.01/2:0.99,0:0.08/1:0.92,0:0.01/2:0.99,0:0.01/2:0.99,0:0.08/2:0.92,0:0.08/2:0.92,0,0:0.01/1:0.99,0:0.08/2:0.92,0:0.01/1:0.99,0:0.08/1:0.92,0:0.01/2:0.99,0,0,0:0.08/2:0.92,0:0.01/1:0.99,0:0.01/1:0.99,0:0.08/2:0.92,0:0.08/2:0.92,0,0:0.01/1:0.99,0,0,0,0,0,0:0.08/2:0.92,0:0.08/1:0.92,0,0:0.08/2:0.92,0:0.08/2:0.92,0:0.01/1:0.99,0:0.08/1:0.92,0:0.01/2:0.99,0,0:0.01/1:0.99,0:0.08/2:0.92,0:0.01/2:0.99,0:0.01/2:0.99,0,0
168_1,1,2,1,1,1,0,1,1,2,0,0,2,2,0,1,0,1,1,2,2,2,1,0,2,1,0,1,0,0,2,0,1,0,0,2,2,1,0,1,0,1,1,0,0,0,0,2,0,1,0,0,2,0,0,2,0,1,2,2,1,1,1,1,1,0,2,1,0,1,0,0,2,0,2,0,1,0,1,2,2,1,1,2,1,1,1,0,0,0,2,2,1,2,2,0,0,0,1,0,2,2,2,1,0,0,2,0,1,1,2,2,0,0,1,0,1,2,2,2,2,0,0,2,1,1,0,0,0,1,1,2,0,2,1,0,0,2,2,0,0,0,0,1,1,0,2,0,1,0,2,2,2,0,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,0,0,2,1,1,2,2,1,1,0,0,0,0,2,2,1,1,2,2,1,1,2,0,1,2,2,2,2,0
216_2,1,2,1,1,1,0,1,1,2,0,0,2,2,0,1,0,1,1,2,2,2,1,0,2,1,0,1,0,0,2,1,1,0,0,2,2,1,0,1,0,1,1,0,0,0,0,2,0,1,0,0,2,0,0,2,1,1,2,2,1,1,1,1,1,0,2,1,0,1,1,0,2,0,2,0,1,0,1,2,2,1,1,2,1,1,1,0,0,0,2,2,1,2,2,0,0,0,1,0,2,2,2,1,0,1,2,0,1,1,2,2,0,0,1,0,1,2,2,2,2,0,0,2,1,1,0,0,0,1,1,2,0,2,1,0,0,2,2,0,0,0,0,1,1,0,2,0,1,0,2,2,2,0,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,0,0,2,1,1,2,2,1,1,0,0,0,1,2,2,1,1,2,2,1,1,2,0,1,2,2,2,2,0
216_1,1,2,1,1,1,0,1,1,2,2,0,2,2,0,1,0,1,1,2,2,2,1,0,2,1,0,1,0,0,2,0,1,0,0,2,2,1,0,1,0,1,1,0,0,0,0,2,0,1,0,0,2,0,0,2,0,1,2,2,1,1,1,1,1,0,2,1,0,1,0,0,2,0,2,0,1,0,1,2,2,1,1,2,1,1,1,0,1,0,2,2,1,2,2,0,0,0,1,0,2,2,2,1,0,0,2,0,1,1,2,2,0,0,1,0,1,2,2,2,2,0,0,2,1,1,0,0,0,1,1,2,0,2,1,0,0,2,2,0,0,0,0,1,1,0,2,0,1,0,2,2,2,0,2,1,2,1,1,1,2,1,2,2,2,2,2,1,2,1,1,2,0,0,2,1,1,2,2,1,1,0,0,0,0,2,2,1,1,2,2,1,1,2,0,1,2,2,2,2,0
157_2,1,2,0,1,1,0,0,1,0,0:0.01/2:0.99,0,2,2,0,1,0,1,0,2,2,2,1,0:0.01/1:0.99,0,1,0:0.01/2:0.99,1,0:0.01/1:0.99,0:0.01/1:0.99,2,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,0:0.01/1:0.99,2,0:0.01/2:0.99,1,0,0,2,0,0,2,0,1,2,2,1,1,1,0,1,0:0.01/1:0.99,2,1,0,1,0,0,2,0:0.01/2:0.99,0,0,1,0,1,2,0,1,0:0.01/2:0.99,2,1,1,1,0,0,0,2,2,1,2,2,0:0.01/1:0.99,0,0,1,0:0.01/1:0.99,2,0,2,1,0,0,0,0:0.01/2:0.99,0,1,2,2,0,0,0,0:0.01/2:0.99,0,2,2,2,2,0:0.01/1:0.99,0,2,1,1,0:0.01/2:0.99,0:0.01/2:0.99,0,1,0,2,0,0,1,0:0.01/2:0.99,0,2,0,0:0.01/2:0.99,0,0,0,1,1,0:0.01/1:0.99,2,0:0.01/1:0.99,1,0:0.01/1:0.99,2,2,2,0,2,0,2,1,1,0,2,1,2,2,2,2,0:0.01/1:0.99,1,2,1,1,2,0:0.01/2:0.99,0,2,1,1,2,2,0,1,0,0,0,0,0:0.01/1:0.99,2,1,0,2,2,1,1,2,0,1,2,2,2,0,0
208_5,1,2,0,1,1,1,1,1,1,2,0,2,2,0,1,0,1,0,2,2,2,1,1,0,1,2,1,1,1,2,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,1,2,2,1,0,0,2,1,0,2,0,1,2,2,1,1,1,0,1,1,2,1,0,1,0,0,2,2,0,0,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,2,1,2,2,1,0,0,1,1,2,0,2,1,0,0,2,2,0,1,2,2,0,0,0,2,0,2,2,2,2,1,0,2,1,1,2,2,0,1,0,2,0,0,1,2,0,2,0,2,1,0,0,1,1,1,2,1,1,1,2,2,2,0,2,0,2,1,1,0,2,1,2,2,2,2,1,1,2,1,1,2,2,0,2,1,1,2,2,0,1,0,2,0,1,1,2,1,0,2,2,1,1,2,0,1,2,2,2,0,0
216_6,1,2,0,1,1,1,1,1,1,2,0,2,2,0,1,0,1,0,2,2,2,1,1,0,1,2,1,1,1,2,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,1,2,2,1,0,0,2,1,0,2,0,1,2,2,1,1,1,0,1,1,2,1,0,1,0,0,2,2,0,0,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,2,1,2,2,1,0,0,1,1,2,0,2,1,0,0,2,2,0,1,2,2,0,0,0,2,0,2,2,2,2,1,0,2,1,1,2,2,0,1,0,2,0,0,1,2,0,2,1,2,1,0,0,1,1,1,2,1,1,1,2,2,2,0,2,1,2,1,1,0,2,1,2,2,2,2,1,1,2,1,1,2,2,0,2,1,1,2,2,0,1,0,2,0,1,1,2,1,0,2,2,1,1,2,0,1,2,2,2,0,0
216_5,1,2,0,1,1,1,1,1,1,2,0,2,2,0,1,0,1,0,2,2,2,1,1,0,1,2,1,1,1,2,0,1,0,0,2,2,1,0,1,0,1,0,0,1,0,1,2,2,1,0,0,2,1,0,2,0,1,2,2,1,1,1,0,1,1,2,1,0,1,0,0,2,2,0,0,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,2,1,2,2,1,0,0,1,1,2,0,2,1,0,0,2,2,0,1,2,2,0,0,0,2,0,2,2,2,2,1,0,2,1,1,2,2,0,1,0,2,0,0,1,2,0,2,0,2,1,0,0,1,1,1,2,1,1,1,2,2,2,0,2,0,2,1,1,0,2,1,2,2,2,2,1,1,2,1,1,2,2,0,2,1,1,2,2,0,1,0,2,0,1,1,2,1,0,2,2,1,1,2,0,1,2,2,2,0,0
203_3,1,2,0,1,1,0,0,1,0,2,0,2,2,0,1,0,1,0,2,2,2,1,1,0,1,2,1,1,1,2,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,1,2,2,1,0,2,2,0,0,2,0,1,2,2,1,1,1,0,1,1,2,1,0,1,0,0,2,2,0,0,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,2,1,2,2,1,0,0,1,1,2,0,2,1,0,0,0,2,0,1,2,2,0,0,0,2,1,2,2,2,2,1,0,2,1,1,2,2,0,1,0,2,0,0,1,2,0,2,0,2,0,0,2,1,1,1,2,1,1,1,2,2,2,0,2,0,2,1,1,0,2,1,2,2,2,2,1,1,2,1,1,2,2,0,2,1,1,2,2,0,1,2,0,0,0,1,2,1,0,2,2,1,1,2,0,1,2,2,2,0,0
216_4,1,2,0,1,1,0,0,1,0,2,0,2,2,0,1,0,1,0,2,2,2,1,1,0,1,2,1,1,1,2,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,1,2,2,1,0,2,2,0,0,2,0,1,2,2,1,1,1,0,1,1,2,1,0,1,0,0,2,2,0,0,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,2,1,2,2,1,0,0,1,1,2,0,2,1,0,0,0,2,0,1,2,2,0,0,0,2,1,2,2,2,2,1,0,2,1,1,2,2,0,1,0,2,0,0,1,2,0,2,0,2,0,0,2,1,1,1,2,1,1,1,2,2,2,0,2,0,2,1,1,0,2,1,2,2,2,2,1,1,2,1,1,2,2,0,2,1,1,2,2,0,1,2,0,0,0,1,2,1,0,2,2,1,1,2,2,1,2,2,2,0,0
216_3,1,2,0,1,1,0,0,1,0,2,0,2,2,0,1,0,1,0,2,2,2,1,1,0,1,2,1,1,1,2,0,1,0,0,2,2,1,0,1,0,1,0,0,0,0,1,2,2,1,0,2,2,0,0,2,0,1,2,2,1,1,1,0,1,1,2,1,0,1,0,0,2,2,0,0,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,2,1,2,2,1,0,0,1,1,2,0,2,1,0,0,0,2,0,1,2,2,0,0,0,2,1,2,2,2,2,1,0,2,1,1,2,2,0,1,0,2,0,0,1,2,0,2,0,2,0,0,2,1,1,1,2,1,1,1,2,2,2,0,2,0,2,1,1,0,2,1,2,2,2,2,1,1,2,1,1,2,2,0,2,1,1,2,2,0,1,2,0,0,0,1,2,1,0,2,2,1,1,2,0,1,2,2,2,0,0
