cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_24,2,2,2,0,0,0,0,1,2,2
216_23,2,2,2,0,0,0,0,1,2,2
216_22,2,2,2,0,2,0,0,1,2,2
216_21,2,2,2,0,2,0,0,1,2,2
216_20,2,2,2,1,2,1,0,1,2,0
216_19,2,2,2,1,2,1,2,1,2,0
216_18,2,2,2,1,2,1,0,1,2,1
216_17,2,2,2,1,2,1,0,1,2,1
216_28,2,2,1,2,1,0,2,1,2,0
216_27,2,2,1,2,1,0,2,1,2,0
216_26,2,2,0,2,1,0,2,1,2,1
216_25,2,2,0,2,1,2,2,1,2,1
216_32,2,2,0,2,0,0,2,1,2,0
216_31,2,2,0,2,0,0,2,1,2,0
216_30,2,2,0,2,1,1,2,1,2,1
216_29,2,2,0,2,1,1,2,1,2,1
216_14,0,2,0,0,1,1,0,1,2,2
216_13,0,2,0,0,1,1,0,1,2,2
216_16,0,2,0,0,1,1,0,1,2,2
216_15,0,2,0,0,1,1,0,1,2,2
216_12,0,2,0,0,1,1,1,1,2,0
216_11,0,2,0,0,1,1,1,1,2,0
216_10,1,2,0,2,1,1,2,1,2,0
216_9,1,2,0,2,1,1,0,1,2,0
216_2,1,1,2,0,1,0,0,1,2,0
216_1,1,1,2,0,1,0,0,1,2,0
216_4,1,1,2,0,1,1,2,1,2,0
216_3,1,1,2,0,1,1,2,1,2,0
216_8,1,1,2,1,2,0,1,1,2,2
216_7,1,1,2,1,2,0,1,1,2,2
216_6,1,1,2,1,0,0,1,1,2,2
216_5,1,1,2,1,0,2,1,1,2,2
