cell,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9
216_24,1,0,2,1,0,2,0,1,2,2
216_23,1,0,2,1,0,2,0,1,2,2
216_22,1,1,2,1,1,0,0,1,2,2
216_21,1,1,2,1,1,0,0,1,2,2
216_20,0,0,2,1,0,0,2,1,2,2
216_19,0,2,2,1,0,0,2,1,2,2
216_18,0,1,2,1,1,0,0,1,2,2
216_17,0,1,2,1,1,0,0,1,2,2
216_28,1,2,2,1,2,0,0,1,2,1
216_27,1,2,2,1,2,0,0,1,2,1
216_26,1,2,2,1,0,0,0,1,2,1
216_25,1,2,2,1,0,0,0,1,2,1
216_32,0,2,2,1,0,0,0,1,2,1
216_31,0,2,2,1,0,0,0,1,2,1
216_30,1,2,2,1,0,0,0,1,2,1
216_29,0,2,2,1,0,0,0,1,2,1
216_14,1,1,1,0,2,0,1,2,2,0
216_13,1,1,1,0,2,0,1,2,2,0
216_16,1,1,1,0,2,0,1,2,2,0
216_15,1,1,1,0,2,0,1,2,2,1
216_12,1,0,1,1,1,1,1,2,2,0
216_11,1,0,1,1,1,1,1,2,2,0
216_10,1,1,1,1,1,1,1,2,2,0
216_9,1,1,1,0,1,1,1,2,2,0
216_2,2,2,1,2,1,2,0,2,2,1
216_1,2,2,1,2,1,2,0,2,2,1
216_4,2,0,1,1,0,2,2,2,2,0
216_3,2,0,1,0,0,2,0,2,2,0
216_8,2,2,1,0,1,2,1,2,2,2
216_7,2,2,1,0,1,2,1,2,2,0
216_6,2,2,1,0,1,2,1,2,2,0
216_5,2,2,1,0,1,2,1,2,2,0
