cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,2,0,0,0,2,2,0,0
I2,2,0,2,0,0,0,2,2,0,2
I3,2,0,2,2,0,0,2,2,1,2
216_7,2,1,2,2,0,0,2,2,1,2
216_6,2,0,2,2,0,0,2,2,1,2
I4,2,2,2,0,2,0,2,2,0,2
216_3,2,2,2,0,2,1,2,2,0,2
216_1,2,2,2,0,2,1,2,2,0,2
I5,0,0,2,0,0,0,2,2,0,0
I6,1,1,2,0,0,0,2,2,0,2
216_10,1,1,2,0,0,0,2,2,0,2
I7,1,1,2,0,0,2,2,2,1,2
216_9,1,1,2,0,0,2,2,2,1,2
216_8,1,1,2,0,0,2,2,2,1,2
I8,0,0,2,0,0,0,2,2,0,0
I9,0,0,2,1,0,0,2,2,0,0
216_14,0,0,2,1,0,0,2,2,0,0
216_13,0,0,2,1,0,0,2,2,0,0
I10,0,0,2,0,0,0,2,2,0,0
216_12,0,0,2,0,0,0,2,2,0,0
216_11,0,0,2,0,0,0,2,2,0,0
I11,0,0,0,0,0,0,0,0,0,0
I12,0,0,0,0,0,2,2,2,0,1
I13,0,1,2,1,0,2,2,2,0,1
I14,0,1,2,1,1,2,2,2,0,1
I15,0,1,2,1,1,2,2,2,0,1
216_42,0,1,2,1,1,2,2,2,0,1
216_41,0,1,2,1,1,2,2,2,0,1
I16,0,1,2,1,1,2,2,2,0,1
216_40,0,1,2,1,1,2,2,2,1,1
216_39,0,1,2,1,1,2,2,2,0,1
I17,0,1,2,1,0,2,2,2,0,1
I18,0,1,2,1,0,2,2,2,0,1
216_46,0,1,2,1,0,2,2,2,0,1
216_45,0,1,2,1,0,2,2,2,0,1
I19,0,1,2,1,0,2,2,2,0,1
216_44,0,1,2,1,1,2,2,2,0,1
216_43,0,1,2,1,0,2,2,2,0,1
I20,0,0,0,0,0,2,2,2,0,1
I21,2,2,0,0,0,2,2,2,2,1
216_36,2,2,0,0,0,2,2,2,2,1
216_35,2,2,0,0,0,2,2,2,2,1
I22,1,0,0,0,1,2,2,2,0,1
216_32,1,0,0,0,1,2,2,2,0,1
216_31,1,0,0,0,1,2,2,2,0,1
I23,0,1,2,0,2,0,0,2,0,0
I24,0,1,2,0,2,0,0,2,1,0
216_26,0,1,2,0,2,1,0,2,1,1
I25,0,1,2,0,2,1,0,2,1,0
216_27,0,1,2,0,2,1,0,2,1,0
I26,0,1,2,2,2,1,2,2,1,0
216_30,0,1,2,2,2,1,2,2,1,0
216_29,0,1,2,2,2,1,2,2,1,2
I27,1,1,2,0,2,2,0,2,1,1
I28,1,1,2,0,2,2,0,2,1,1
I29,1,1,2,0,2,2,0,2,1,1
216_22,1,1,2,0,2,2,0,2,1,1
216_21,1,1,2,0,2,2,0,2,1,1
I30,1,1,2,2,2,2,0,2,1,1
216_20,1,1,2,2,2,2,0,2,1,1
216_19,1,1,2,2,2,2,0,2,1,1
I31,1,1,2,0,2,2,0,2,1,1
216_18,1,1,2,1,2,2,0,2,1,1
I32,1,1,2,1,2,2,1,2,1,1
216_16,1,1,2,1,2,2,1,2,1,1
216_15,1,1,2,1,2,2,1,2,1,1
Evolve tree: [&R] ((((((216_15:17,216_16:17)I32:47,216_18:64)I31:48,((216_19:14,216_20:14)I30:46,(216_21:12,216_22:12)I29:48)I28:52)I27:52,(((216_29:11,216_30:11)I26:45,216_27:56)I25:46,216_26:102)I24:62)I23:40,(((216_31:13,216_32:13)I22:87,(216_35:8,216_36:8)I21:92)I20:57,(((216_43:9,216_44:9)I19:43,(216_45:5,216_46:5)I18:47)I17:44,((216_39:8,216_40:8)I16:38,(216_41:5,216_42:5)I15:41)I14:50)I13:61)I12:47)I11:11,((((216_11:4,216_12:4)I10:44,(216_13:2,216_14:2)I9:46)I8:45,((216_8:3,216_9:3)I7:41,216_10:44)I6:49)I5:54,((216_1:41,216_3:41)I4:50,(216_6:3,216_7:3)I3:88)I2:56)I1:68)I0;
