cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
I0,0,0,0,0,0,0,0,0,0,0
I1,0,0,0,0,0,0,0,1,0,0
I2,0,0,0,2,1,0,1,1,0,0
I3,0,2,0,2,1,0,1,1,0,0
I4,0,2,0,2,1,2,1,1,0,0
216_6,0,2,0,2,1,2,1,1,0,0
216_5,0,2,0,2,1,2,1,1,0,0
I5,0,2,0,2,1,0,1,1,0,0
216_8,1,2,0,2,1,0,1,1,0,0
216_7,0,2,0,2,1,0,1,1,0,0
I6,2,0,0,2,1,0,1,1,0,0
I7,2,0,1,2,1,0,1,1,0,0
216_4,2,2,1,2,1,0,1,1,0,0
216_3,2,2,1,2,1,1,1,1,0,2
I8,2,0,0,2,1,0,1,1,1,0
216_2,2,1,0,2,1,2,1,1,1,0
216_1,2,0,0,2,1,0,1,1,1,0
I9,1,0,0,0,0,0,0,1,0,0
I10,1,0,0,0,0,0,1,1,0,0
216_12,1,0,0,0,2,0,1,1,1,0
I11,1,1,0,0,0,0,1,1,2,0
216_10,1,1,0,0,0,0,1,1,2,2
216_9,1,1,1,0,0,0,1,1,2,0
I12,1,0,0,0,1,0,0,1,0,0
I13,1,2,0,0,1,0,0,1,0,0
216_16,1,2,1,0,1,2,0,1,0,1
216_15,1,2,0,1,1,0,0,1,2,0
I14,1,0,0,1,1,0,0,1,0,2
216_14,1,0,0,1,1,0,0,1,0,2
216_13,1,0,0,1,1,0,0,1,2,2
I15,0,2,0,1,0,0,0,1,0,0
I16,0,2,0,1,0,0,0,1,0,0
I17,0,2,1,1,1,0,0,1,0,0
I18,0,2,1,1,1,0,0,1,0,0
216_34,0,2,1,1,1,0,0,1,0,0
216_33,0,2,1,1,1,0,0,1,0,0
I19,0,2,1,1,1,0,0,1,0,0
216_36,0,2,1,1,1,0,0,1,0,0
216_35,0,2,1,1,1,0,0,1,0,1
I20,0,2,0,1,0,0,0,1,0,2
I21,0,2,1,1,0,0,0,1,2,2
216_44,0,2,1,1,0,0,0,1,2,2
216_43,0,2,1,1,0,0,0,1,2,2
I22,0,2,0,1,0,0,0,1,1,2
216_46,0,2,0,1,0,0,0,1,1,2
216_45,0,2,0,1,0,0,0,1,1,2
I23,0,2,1,1,0,0,2,1,1,2
I24,1,2,1,1,0,1,2,1,1,2
I25,1,2,1,1,0,1,2,1,1,2
I26,1,2,1,1,0,1,2,1,1,2
216_20,1,2,1,1,0,1,2,1,1,2
216_19,1,2,1,1,0,1,2,1,1,2
I27,1,2,1,1,0,1,2,1,1,2
216_18,1,2,1,1,0,1,2,1,1,2
216_17,1,2,1,1,1,1,2,1,1,2
I28,1,2,1,1,0,1,2,1,1,2
I29,1,2,1,1,2,1,2,1,1,2
216_24,1,2,1,1,2,1,2,1,1,2
216_23,1,2,1,1,2,1,2,1,1,2
I30,1,2,1,1,0,1,2,1,1,2
216_22,1,2,1,1,0,1,2,1,1,2
216_21,1,2,1,1,0,1,2,1,1,2
I31,0,2,1,1,0,1,2,1,1,2
I32,0,2,1,1,2,1,2,1,1,2
I33,0,2,1,1,2,1,2,1,1,2
216_32,0,2,1,1,2,1,2,1,1,2
216_31,0,2,1,1,2,1,2,1,1,2
I34,0,2,1,1,2,1,2,1,1,2
216_30,0,2,1,1,2,1,2,1,1,2
216_29,0,2,1,1,2,1,2,1,1,2
I35,0,2,1,1,0,1,2,1,1,2
I36,0,2,1,1,0,1,2,1,1,2
216_28,0,2,1,1,2,1,2,1,1,2
216_27,0,2,1,1,0,1,2,1,1,2
I37,0,2,1,1,0,1,2,1,1,2
216_26,0,2,1,1,0,1,2,1,1,2
216_25,0,2,1,1,0,1,2,1,1,2
Evolve tree: [&R] ((((((216_25:24,216_26:24)I37:34,(216_27:20,216_28:20)I36:38)I35:42,((216_29:19,216_30:19)I34:34,(216_31:17,216_32:17)I33:36)I32:47)I31:49,(((216_21:28,216_22:28)I30:33,(216_23:25,216_24:25)I29:36)I28:38,((216_17:25,216_18:25)I27:35,(216_19:25,216_20:25)I26:35)I25:39)I24:50)I23:44,(((216_45:19,216_46:19)I22:34,(216_43:18,216_44:18)I21:35)I20:89,((216_35:11,216_36:11)I19:35,(216_33:5,216_34:5)I18:41)I17:96)I16:51)I15:22,((((216_13:36,216_14:36)I14:49,(216_15:31,216_16:31)I13:54)I12:56,((216_9:25,216_10:25)I11:51,216_12:76)I10:65)I9:48,(((216_1:42,216_2:42)I8:48,(216_3:39,216_4:39)I7:51)I6:50,((216_7:31,216_8:31)I5:55,(216_5:29,216_6:29)I4:57)I3:54)I2:49)I1:26)I0;
